pk, brand, type, name, colorway, image, release_date, retail_price, ticker, total_sales, url, year_high, year_low, avg_sale_price, premium
1, Adidas, NMD, adidas Human Race NMD Pharrell Pale Nude, Pale Nude/Core Black/Yellow, https://stockx-360.imgix.net/adidas-human-race-nmd-pharrell-pale-nude_TruView/Images/adidas-human-race-nmd-pharrell-pale-nude_TruView/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1538080256, 2017-11-11, 240, HMNRCNMD-PALNUD, 1317, https://www.stockx.com/adidas-human-race-nmd-pharrell-pale-nude, 700, 211, 381, 0
16, Jordan, 1, Jordan 1 Mid Pine Green, Pine Green/Sail-Black, https://stockx-360.imgix.net/Air-Jordan-1-Mid-Pine-Green/Images/Air-Jordan-1-Mid-Pine-Green/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1547151496, 2018-12-18, 110, AJ1M-PNGRN, 1444, https://www.stockx.com/air-jordan-1-mid-pine-green, 225, 66, 136, 0
27, Nike, Air Max, Air Max 270 Dusty Cactus, Black/White-Dusty Cactus, https://stockx-360.imgix.net/nike-air-max-270-dusty-cactus_TruView/Images/nike-air-max-270-dusty-cactus_TruView/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1538080256, 2018-03-22, 150, NK-AM270DC, 1489, https://www.stockx.com/nike-air-max-270-dusty-cactus, 265, 100, 172, 0
36, Nike, Lebron, LeBron 15 Orange Box, Total Orange/White-Mine Grey, https://stockx.imgix.net/Nike-LeBron-15-Orange-Box.jpg?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1538080256, 2018-03-15, 200, L15-ORNGBX, 753, https://www.stockx.com/nike-lebron-15-orange-box, 500, 186, 277, 0
70, Jordan, 6, Jordan 6 Retro Gatorade Like Mike White, Summit White/Team Orange-Black, https://stockx-360.imgix.net/air-jordan-6-retro-gatorade-like-mike-white_TruView/Images/air-jordan-6-retro-gatorade-like-mike-white_TruView/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1549050179, 2017-12-16, 190, AJ6-G8RDWHT, 1488, https://www.stockx.com/air-jordan-6-retro-gatorade-like-mike-white, 365, 85, 150, -100
183, Nike, Air Max, Air VaporMax 97 Silver Bullet, Metallic Silver/Varsity Red-White-Black, https://stockx-360.imgix.net/Nike-Air-VaporMax-97-Silver-Bullet/Images/Nike-Air-VaporMax-97-Silver-Bullet/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1538080256, 2018-04-12, 190, NK-AVM97SVB, 1619, https://www.stockx.com/nike-air-vapormax-97-silver-bullet, 450, 130, 196, 0
203, Nike, Air Max, Air VaporMax Plus Betrue (2018), Purple Pulse/Black-Pink Blast, https://stockx-360.imgix.net/Nike-Air-VaporMax-Plus-Betrue-2018/Images/Nike-Air-VaporMax-Plus-Betrue-2018/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1538080256, 2018-06-15, 190, NK-AVPB18, 689, https://www.stockx.com/nike-air-vapormax-plus-betrue-2018, 500, 185, 273, 0
204, Adidas, NMD, adidas NMD Hu Pharrell Solar Pack Red, White/Black/Red, https://stockx-360.imgix.net/Adidas-NMD-Hu-Pharrell-Solar-Pack-Red/Images/Adidas-NMD-Hu-Pharrell-Solar-Pack-Red/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1538080256, 2018-08-18, 250, NMDHU-SLRPKRD, 2832, https://www.stockx.com/adidas-nmd-hu-pharrell-solar-pack-red, 495, 180, 293, 0
227, Jordan, 8, Jordan 8 Retro Tinker Air Raid, Black/Light Concord-Aloe Verde, https://stockx-360.imgix.net/Air-Jordan-8-Retro-Tinker-Air-Raid/Images/Air-Jordan-8-Retro-Tinker-Air-Raid/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1548139245, 2018-12-22, 190, AJ8-TNK, 1265, https://www.stockx.com/air-jordan-8-retro-tinker-air-raid, 250, 100, 164, -100
306, Other, Converse, Converse One Star Ox Tyler the Creator Golf Le Fleur Light Blue Pink, Plume/Pink Marshmallow-White, https://stockx-360.imgix.net/Converse-One-Star-Ox-Tyler-The-Creator-Golf-Le-Fleur-Light-Blue-Pink/Images/Converse-One-Star-Ox-Tyler-The-Creator-Golf-Le-Fleur-Light-Blue-Pink/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1538080256, 2018-06-01, 100, CV-OSOTTCGLFLBP, 527, https://www.stockx.com/converse-one-star-ox-tyler-the-creator-golf-le-fleur-light-blue-pink, 388, 95, 140, 0
328, Nike, Air Max, Air Max 97 Silver Black, Black/Varsity Red-Metallic Silver-White, https://stockx-360.imgix.net/Nike-Air-Max-97-Silver-Black/Images/Nike-Air-Max-97-Silver-Black/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1545234271, 2018-11-09, 180, AM97-SLVBLK, 522, https://www.stockx.com/nike-air-max-97-silver-black, 220, 86, 144, -100
