type, name, total_sales, premium
Kyrie, Kyrie 1 All Star, 111, 35.38
Kyrie, Kyrie 1 Australia, 25, 13.64
Kyrie, Kyrie 1 Dream, 59, 98.18
Kyrie, Kyrie 1 Driveway, 11, 17.27
Kyrie, Kyrie 1 Duke Brotherhood, 27, 26.36
Kyrie, Kyrie 1 Duke Brotherhood (GS), --, 
Kyrie, Kyrie 1 Easter, 28, 14.55
Kyrie, Kyrie 1 Independence Day, 31, 10.91
Kyrie, Kyrie 1 Infrared, 45, 24.55
Kyrie, Kyrie 1 Letterman, 20, 10
Kyrie, Kyrie 1 Opening Night, 83, 45.38
Kyrie, Kyrie 1 Pepsi Uncle Drew, 1, 
Kyrie, Kyrie 1 Rise China, --, 
Kyrie, Kyrie 1 The Dungeon, 11, 1.82
Kyrie, Kyrie 1 Venus Flytrap, 20, -6.36
Kyrie, Kyrie 1 Wolf Grey, 28, 29.09
Kyrie, Kyrie 2 All Star (2016), 57, -3.33
Kyrie, Kyrie 2 All-Star 2016 (GS), 4, -35
Kyrie, Kyrie 2 Australia, 18, -32.5
Kyrie, Kyrie 2 BHM (2016), 71, 38.33
Kyrie, Kyrie 2 Cavs, 17, 3.33
Kyrie, Kyrie 2 Crossover, 14, 28.33
Kyrie, Kyrie 2 Doernbecher, 123, 70.83
Kyrie, Kyrie 2 Doernbecher (GS), 13, 23
Kyrie, Kyrie 2 Duke, 85, 37.5
Kyrie, Kyrie 2 EYBL, 6, 188.8
Kyrie, Kyrie 2 Easter, 21, -5
Kyrie, Kyrie 2 Gold Medal, 37, 34.17
Kyrie, Kyrie 2 Inferno, 38, 13.6
Kyrie, Kyrie 2 Ky-Rispy Kreme (Special Box Version 2) (Not Windowed), 96, 50
Kyrie, Kyrie 2 Kyrache, 61, -11.67
Kyrie, Kyrie 2 Kyrache (GS), 3, -29.09
Kyrie, Kyrie 2 Kyrie-Oke, 15, 7.5
Kyrie, Kyrie 2 Omega, 8, -21.67
Kyrie, Kyrie 2 Parade, 17, 0
Kyrie, Kyrie 2 Red Velvet, 15, -5
Kyrie, Kyrie 2 School Bus (GS), 14, -23
Kyrie, Kyrie 2 Silver Speckle, 7, -1.67
Kyrie, Kyrie 2 Skateboard (GS), 3, 8
Kyrie, Kyrie 2 Summer Pack, 13, -10
Kyrie, Kyrie 2 The Effect, 63, 66.4
Kyrie, Kyrie 2 Triple Black, 27, 0.83
Kyrie, Kyrie 2 USA, 22, 5.83
Kyrie, Kyrie 2 What The Kyrie Sail, 91, 40.83
Kyrie, Kyrie 2 What the Kyrie Green Glow, 27, 65
Kyrie, Kyrie 3 Aqua (GS), --, 
Kyrie, Kyrie 3 BHM (2017), 71, 14.17
Kyrie, Kyrie 3 Black Ice, 27, -5.83
Kyrie, Kyrie 3 Black Suede, 207, -44.17
Kyrie, Kyrie 3 Candy Apple Red (GS), 12, -22
Kyrie, Kyrie 3 Cool Grey, 12, 0
Kyrie, Kyrie 3 Duke, 91, 26.67
Kyrie, Kyrie 3 EYBL, 49, 156.67
Kyrie, Kyrie 3 Finals Gold, 144, 25.83
Kyrie, Kyrie 3 Hyper Cobalt "Duke", 27, -24.17
Kyrie, Kyrie 3 Ivory, 20, -16.67
Kyrie, Kyrie 3 Kyrache Light, 108, -40
Kyrie, Kyrie 3 Mac and Cheese (GS), 1, 20
Kyrie, Kyrie 3 Mamba Mentality Bruce Lee, 393, 144.17
Kyrie, Kyrie 3 N7 (2017), 4, -6.67
Kyrie, Kyrie 3 N7 2017 (GS), --, 
Kyrie, Kyrie 3 Obsidian, 11, -29.17
Kyrie, Kyrie 3 Red Suede, 192, -41.67
Kyrie, Kyrie 3 Samurai, 64, 91.67
Kyrie, Kyrie 3 Summer Pack (GS), 15, -9
Kyrie, Kyrie 3 Team Red, 28, -25.83
Kyrie, Kyrie 3 Three Point Contest Candy Apple, 31, 5
Kyrie, Kyrie 3 Time to Shine, 59, 19.17
Kyrie, Kyrie 3 Triple Black, 33, -2.5
Kyrie, Kyrie 3 Warning (TD), --, 
Kyrie, Kyrie 3 What the Kyrie (GS), 19, -5
Kyrie, Kyrie 4 70s (Decades Pack), 276, -2.5
Kyrie, Kyrie 4 70s (GS), 9, -1
Kyrie, Kyrie 4 70s Decades Pack (GS), --, 
Kyrie, Kyrie 4 80s (Decades Pack), 223, -5
Kyrie, Kyrie 4 80s Decades Pack (GS), 2, 0
Kyrie, Kyrie 4 90s (Decades Pack), 218, 5.83
Kyrie, Kyrie 4 All-Star (2018), 782, 9.17
Kyrie, Kyrie 4 All-Star 2018 (GS), 27, 9
Kyrie, Kyrie 4 Ankle Taker, 128, -26.67
Kyrie, Kyrie 4 Atomic Pink (GS), 28, -22
Kyrie, Kyrie 4 Black History Month 2018 (GS), 49, 24
Kyrie, Kyrie 4 Black Metallic Silver, 191, -30.83
Kyrie, Kyrie 4 Black White, 8, 0.83
Kyrie, Kyrie 4 Blackout, 121, -4.17
