brand, name, premium
Nike, Air Force 1 '07 Virgil x MoMA (No Socks), 752.57
Nike, Air Force 1 '07 XX White (W), 20.87
Nike, Air Force 1 Boot Tisci Black, -32.35
Nike, Air Force 1 Boot Tisci Tan (W), -0.29
Nike, Air Force 1 CMFT Lux Low Black Ostrich, -13.57
Nike, Air Force 1 CMFT Lux Low Ostrich Red, -15.71
Nike, Air Force 1 CMFT Lux White, -12
Nike, Air Force 1 CMFT Mowabb Sand Dune, -33.6
Nike, Air Force 1 Comfort Weatherman, 15.56
Nike, Air Force 1 Downtown Acronym Black Crimson, -20
Nike, Air Force 1 Downtown Acronym Black Olive, -20
Nike, Air Force 1 Downtown Acronym Black White, 6.4
Nike, Air Force 1 Explorer XX Geode Teal (W), -2.67
Nike, Air Force 1 Explorer XX Off White (W), -0.67
Nike, Air Force 1 Flyknit Low Black Metallic Silver, -12.86
Nike, Air Force 1 Flyknit Low Midnight Fog Silt Red (W), 17.86
Nike, Air Force 1 Flyknit Triple White (W), -38.86
Nike, Air Force 1 Flyknit University Red, -12.57
Nike, Air Force 1 Flyleather Black, 65
Nike, Air Force 1 Foamposite Cup Light Carbon, -53
Nike, Air Force 1 Foamposite Cup Triple Black, -48
Nike, Air Force 1 Foamposite Cup University Red, -22
Nike, Air Force 1 Foamposite Pro Cup Coral Stardust, -53.33
Nike, Air Force 1 Foamposite Pro Cup Gym Red Black, -41.67
Nike, Air Force 1 Foamposite Pro Cup Triple White, -36.11
Nike, Air Force 1 High 3D Chenille Swoosh Red White Blue, -34.55
Nike, Air Force 1 High Acid Wash Pack Black (W), -29.09
Nike, Air Force 1 High Acid Wash Print, -4.55
Nike, Air Force 1 High Atlanta Away (GS), 70
Nike, Air Force 1 High BHM (2017), 52.86
Nike, Air Force 1 High Black History Month (2018), 15.38
Nike, Air Force 1 High Black Iridescent, -22.73
Nike, Air Force 1 High Chocolate, -47.14
Nike, Air Force 1 High Dark Stucco, -23.64
Nike, Air Force 1 High Dip Dye White Black, 27.27
Nike, Air Force 1 High Flax (2017), -10
Nike, Air Force 1 High Flax (2018), -24.29
Nike, Air Force 1 High Flax 2017 (GS), 12.63
Nike, Air Force 1 High Gym Red Perforated, 63
Nike, Air Force 1 High Jester XX Black Blustery (W), -17.5
Nike, Air Force 1 High Jester XX Violet Ash (W), -15
Nike, Air Force 1 High John Geiger "Misplaced Checks" Black, -36.36
Nike, Air Force 1 High John Geiger "Misplaced Checks" Red, -6.73
Nike, Air Force 1 High John Geiger "Misplaced Checks" White, 18.8
Nike, Air Force 1 High Just Do It Pack Black, -32.31
Nike, Air Force 1 High Just Do It Pack Orange, -30.77
Nike, Air Force 1 High Just Do It Pack Orange (GS), -15
Nike, Air Force 1 High Just Do It Pack White (W), -17.27
Nike, Air Force 1 High Just Do It Pack White Black, -21.82
Nike, Air Force 1 High Just Don (AF100), -11
Nike, Air Force 1 High Magic Stick VIP, 112.86
Nike, Air Force 1 High Magic Stick VIP Black, 38.57
Nike, Air Force 1 High Metallic Gold, 21.43
Nike, Air Force 1 High NBA Flat Silver, -10
Nike, Air Force 1 High NYC Obsidian Orange, -39.41
Nike, Air Force 1 High Nitro Microphone, -18.8
Nike, Air Force 1 High PSNY Black, -6
Nike, Air Force 1 High PSNY Grey, 22.5
Nike, Air Force 1 High PSNY White, 11.5
Nike, Air Force 1 High Perf Black White, -10
Nike, Air Force 1 High Perf White Black, 11
Nike, Air Force 1 High Premier Beef and Broccoli Pack Wheat, -17.86
Nike, Air Force 1 High Red Gum, 13.64
Nike, Air Force 1 High Retro Summit White Wolf Grey, -19.29
Nike, Air Force 1 High Riccardo Tisci All-Star 2018 (Black), -7.27
