brand, type, premium, total_sales, avg_sale_price
Nike, Air Force, 752.57, 58, 1492
Nike, Air Force, 20.87, 37, 139
Nike, Air Force, -32.35, 1, 230
Nike, Air Force, -0.29, 2, 339
Nike, Air Force, -13.57, 4, 121
Nike, Air Force, -15.71, 5, 118
Nike, Air Force, -12, 6, 132
Nike, Air Force, -33.6, 2, 83
Nike, Air Force, 15.56, 11, 156
Nike, Air Force, -20, 24, 200
Nike, Air Force, -20, 60, 200
Nike, Air Force, 6.4, 61, 266
Nike, Air Force, -2.67, 3, 146
Nike, Air Force, -0.67, 32, 149
Nike, Air Force, -12.86, 30, 122
Nike, Air Force, 17.86, 1, 165
Nike, Air Force, -38.86, 3, 107
Nike, Air Force, -12.57, 15, 153
Nike, Air Force, 65, 4, 165
Nike, Air Force, -53, 738, 94
Nike, Air Force, -48, 923, 104
Nike, Air Force, -22, 5, 156
Nike, Air Force, -53.33, 202, 84
Nike, Air Force, -41.67, 36, 105
Nike, Air Force, -36.11, 178, 115
Nike, Air Force, -34.55, 43, 72
Nike, Air Force, -29.09, 2, 78
Nike, Air Force, -4.55, 5, 105
Nike, Air Force, 70, 1, 170
Nike, Air Force, 52.86, 33, 214
Nike, Air Force, 15.38, 452, 150
Nike, Air Force, -22.73, 2, 85
Nike, Air Force, -47.14, 4, 74
Nike, Air Force, -23.64, 8, 84
Nike, Air Force, 27.27, 2, 140
Nike, Air Force, -10, 508, 126
Nike, Air Force, -24.29, 80, 106
Nike, Air Force, 12.63, 145, 107
Nike, Air Force, 63, 2, 163
Nike, Air Force, -17.5, 10, 99
Nike, Air Force, -15, 22, 102
Nike, Air Force, -36.36, 1, 350
Nike, Air Force, -6.73, 2, 513
Nike, Air Force, 18.8, 7, 594
Nike, Air Force, -32.31, 67, 88
Nike, Air Force, -30.77, 12, 90
Nike, Air Force, -15, 3, 85
Nike, Air Force, -17.27, 16, 91
Nike, Air Force, -21.82, 33, 86
Nike, Air Force, -11, 512, 178
Nike, Air Force, 112.86, 25, 298
Nike, Air Force, 38.57, 9, 194
Nike, Air Force, 21.43, 8, 170
Nike, Air Force, -10, 24, 90
Nike, Air Force, -39.41, 21, 103
Nike, Air Force, -18.8, 4, 203
Nike, Air Force, -6, 178, 188
Nike, Air Force, 22.5, 504, 245
Nike, Air Force, 11.5, 297, 223
Nike, Air Force, -10, 2, 90
Nike, Air Force, 11, 4, 111
Nike, Air Force, -17.86, 6, 115
Nike, Air Force, 13.64, 1, 125
Nike, Air Force, -19.29, 17, 113
Nike, Air Force, -7.27, 190, 204
Nike, Air Force, -28.18, 180, 158
Nike, Air Force, -24, 61, 209
Nike, Air Force, -13.09, 51, 239
Nike, Air Force, -56.36, 1, 120
Nike, Air Force, -53.82, 38, 127
Nike, Air Force, 10.77, 860, 144
Nike, Air Force, -3.64, 4, 106
Nike, Air Force, 0.91, 11, 111
Nike, Air Force, 233.5, 3, 667
Nike, Air Force, 400.67, 14, 751
Nike, Air Force, 458, 50, 837
Nike, Air Force, 401.33, 32, 752
Nike, Air Force, -15, 4, 85
Nike, Air Force, 3.75, 3, 332
Nike, Air Force, 1.56, 14, 325
Nike, Air Force, 16.25, 4, 372
Nike, Air Force, -26, 67, 74
Nike, Air Force, 0, 2, 110
Nike, Air Force, 54.55, 11, 170
Nike, Air Force, 20.91, 7, 133
Nike, Air Force, -26.32, 2, 70
Nike, Air Force, -9.29, 36, 127
Nike, Air Force, 13.68, 43, 108
Nike, Air Force, 2.86, 10, 144
Nike, Air Force, -5, 1, 95
Nike, Air Force, -17, 222, 83
Nike, Air Force, -56.67, 2, 65
Nike, Air Force, 76.47, 8, 270
Nike, Air Force, 86.93, 6, 286
Nike, Air Force, 14.55, 31, 126
Nike, Air Force, 18.18, 26, 130
Nike, Air Force, 24.62, 206, 162
Nike, Air Force, -29.23, 26, 92
Nike, Air Force, 18.18, 5, 130
Nike, Air Force, 13.64, 62, 125
Nike, Air Force, 43.85, 140, 187
Nike, Air Force, -3.08, 15, 126
Nike, Air Force, -10.59, 14, 76
Nike, Air Force, -79.17, 1, 25
Nike, Air Force, -23.33, 36, 92
Nike, Air Force, 40, 5, 140
Nike, Air Force, -2, 3, 98
Nike, Air Force, 20, 1, 120
Nike, Air Force, 15, 4, 115
Nike, Air Force, 27.5, 74, 153
Nike, Air Force, 242, 3, 342
Nike, Air Force, -11.11, 15, 80
Nike, Air Force, 20, 13, 102
Nike, Air Force, 12, 550, 112
Nike, Air Force, 23.85, 453, 161
Nike, Air Force, 14.21, 438, 217
Nike, Air Force, 29.47, 1046, 246
Nike, Air Force, -33, 45, 67
Nike, Air Force, -21, 17, 79
Nike, Air Force, -30.5, 7, 139
Nike, Air Force, -10.83, 136, 107
Nike, Air Force, 25.56, 228, 113
Nike, Air Force, 22.22, 129, 110
Nike, Air Force, -22.86, 3, 135
Nike, Air Force, 25, 1, 125
Nike, Air Force, -24, 5, 95
Nike, Air Force, -50, 1, 50
Nike, Air Force, 25.19, 8, 169
Nike, Air Force, 37.89, 57, 131
Nike, Air Force, 1.11, 18, 91
Nike, Air Force, -19, 6, 81
Nike, Air Force, 24.44, 88, 112
Nike, Air Force, 5.26, 1, 100
Nike, Air Force, 20, 1, 120
Nike, Air Force, -0.91, 5, 109
Nike, Air Force, 60, 1, 120
Nike, Air Force, -44.67, 2, 83
Nike, Air Force, -41.25, 12, 94
Nike, Air Force, 15.2, 4, 144
Nike, Air Force, 92.22, 1, 173
Nike, Air Force, 161.11, 6, 235
Nike, Air Force, 88.5, 1718, 377
Nike, Air Force, -5.63, 246, 151
Nike, Air Force, -22, 3, 117
Nike, Air Force, 3.7, 2, 140
Nike, Air Force, 92.17, 365, 221
Nike, Air Force, -25, 12, 75
Nike, Air Force, -17, 272, 83
Nike, Air Force, -12, 128, 88
Nike, Air Force, 27.78, 2, 115
Nike, Air Force, -33.08, 101, 87
Nike, Air Force, 3.85, 4, 135
Nike, Air Force, -31, 29, 69
Nike, Air Force, -31.54, 47, 89
Nike, Air Force, -37, 4, 63
Nike, Air Force, -3.08, 715, 126
Nike, Air Force, -11, 12, 89
Nike, Air Force, 35.71, 1, 95
Nike, Air Force, 8.62, 6, 63
Nike, Air Force, -25.83, 205, 89
Nike, Air Force, -37.86, 3, 87
Nike, Air Force, -29.17, 31, 85
Nike, Air Force, -24, 1, 95
Nike, Air Force, 55.56, 1, 140
Nike, Air Force, 31, 29, 131
Nike, Air Force, -39, 15, 61
Nike, Air Force, 138.67, 9, 1074
Nike, Air Force, 214, 4, 1413
Nike, Air Force, 255.56, 1, 1600
Nike, Air Force, -25.33, 15, 112
Nike, Air Force, 11.11, 2, 100
Nike, Air Force, 11.11, 1, 100
