type, name, retail_price, total_sales, avg_sale_price, premium
Air Force, Air Force 1 '07 Virgil x MoMA (No Socks), 175, 58, 1492, 752.57
Air Force, Air Force 1 '07 XX White (W), 115, 37, 139, 20.87
Air Force, Air Force 1 Boot Tisci Black, 340, 1, 230, -32.35
Air Force, Air Force 1 Boot Tisci Tan (W), 340, 2, 339, -0.29
Air Force, Air Force 1 CMFT Lux Low Black Ostrich, 140, 4, 121, -13.57
Air Force, Air Force 1 CMFT Lux Low Ostrich Red, 140, 5, 118, -15.71
Air Force, Air Force 1 CMFT Lux White, 150, 6, 132, -12
Air Force, Air Force 1 CMFT Mowabb Sand Dune, 125, 2, 83, -33.6
Air Force, Air Force 1 Comfort Weatherman, 135, 11, 156, 15.56
Air Force, Air Force 1 Downtown Acronym Black Crimson, 250, 24, 200, -20
Air Force, Air Force 1 Downtown Acronym Black Olive, 250, 60, 200, -20
Air Force, Air Force 1 Downtown Acronym Black White, 250, 61, 266, 6.4
Air Force, Air Force 1 Explorer XX Geode Teal (W), 150, 3, 146, -2.67
Air Force, Air Force 1 Explorer XX Off White (W), 150, 32, 149, -0.67
Air Force, Air Force 1 Flyknit Low Black Metallic Silver, 140, 30, 122, -12.86
Air Force, Air Force 1 Flyknit Low Midnight Fog Silt Red (W), 140, 1, 165, 17.86
Air Force, Air Force 1 Flyknit Triple White (W), 175, 3, 107, -38.86
Air Force, Air Force 1 Flyknit University Red, 175, 15, 153, -12.57
Air Force, Air Force 1 Flyleather Black, 100, 4, 165, 65
Air Force, Air Force 1 Foamposite Cup Light Carbon, 200, 738, 94, -53
Air Force, Air Force 1 Foamposite Cup Triple Black, 200, 923, 104, -48
Air Force, Air Force 1 Foamposite Cup University Red, 200, 5, 156, -22
Air Force, Air Force 1 Foamposite Pro Cup Coral Stardust, 180, 202, 84, -53.33
Air Force, Air Force 1 Foamposite Pro Cup Gym Red Black, 180, 36, 105, -41.67
Air Force, Air Force 1 Foamposite Pro Cup Triple White, 180, 178, 115, -36.11
Air Force, Air Force 1 High 3D Chenille Swoosh Red White Blue, 110, 43, 72, -34.55
Air Force, Air Force 1 High Acid Wash Pack Black (W), 110, 2, 78, -29.09
Air Force, Air Force 1 High Acid Wash Print, 110, 5, 105, -4.55
Air Force, Air Force 1 High Atlanta Away (GS), 100, 1, 170, 70
Air Force, Air Force 1 High BHM (2017), 140, 33, 214, 52.86
Air Force, Air Force 1 High Black History Month (2018), 130, 452, 150, 15.38
Air Force, Air Force 1 High Black Iridescent, 110, 2, 85, -22.73
Air Force, Air Force 1 High Chocolate, 140, 4, 74, -47.14
Air Force, Air Force 1 High Dark Stucco, 110, 8, 84, -23.64
Air Force, Air Force 1 High Dip Dye White Black, 110, 2, 140, 27.27
Air Force, Air Force 1 High Flax (2017), 140, 508, 126, -10
Air Force, Air Force 1 High Flax (2018), 140, 80, 106, -24.29
Air Force, Air Force 1 High Flax 2017 (GS), 95, 145, 107, 12.63
Air Force, Air Force 1 High Gym Red Perforated, 100, 2, 163, 63
Air Force, Air Force 1 High Jester XX Black Blustery (W), 120, 10, 99, -17.5
Air Force, Air Force 1 High Jester XX Violet Ash (W), 120, 22, 102, -15
Air Force, Air Force 1 High John Geiger "Misplaced Checks" Black, 550, 1, 350, -36.36
Air Force, Air Force 1 High John Geiger "Misplaced Checks" Red, 550, 2, 513, -6.73
Air Force, Air Force 1 High John Geiger "Misplaced Checks" White, 500, 7, 594, 18.8
Air Force, Air Force 1 High Just Do It Pack Black, 130, 67, 88, -32.31
Air Force, Air Force 1 High Just Do It Pack Orange, 130, 12, 90, -30.77
Air Force, Air Force 1 High Just Do It Pack Orange (GS), 100, 3, 85, -15
Air Force, Air Force 1 High Just Do It Pack White (W), 110, 16, 91, -17.27
Air Force, Air Force 1 High Just Do It Pack White Black, 110, 33, 86, -21.82
Air Force, Air Force 1 High Just Don (AF100), 200, 512, 178, -11
Air Force, Air Force 1 High Magic Stick VIP, 140, 25, 298, 112.86
Air Force, Air Force 1 High Magic Stick VIP Black, 140, 9, 194, 38.57
Air Force, Air Force 1 High Metallic Gold, 140, 8, 170, 21.43
Air Force, Air Force 1 High NBA Flat Silver, 100, 24, 90, -10
Air Force, Air Force 1 High NYC Obsidian Orange, 170, 21, 103, -39.41
Air Force, Air Force 1 High Nitro Microphone, 250, 4, 203, -18.8
Air Force, Air Force 1 High PSNY Black, 200, 178, 188, -6
Air Force, Air Force 1 High PSNY Grey, 200, 504, 245, 22.5
Air Force, Air Force 1 High PSNY White, 200, 297, 223, 11.5
Air Force, Air Force 1 High Perf Black White, 100, 2, 90, -10
Air Force, Air Force 1 High Perf White Black, 100, 4, 111, 11
Air Force, Air Force 1 High Premier Beef and Broccoli Pack Wheat, 140, 6, 115, -17.86
Air Force, Air Force 1 High Red Gum, 110, 1, 125, 13.64
Air Force, Air Force 1 High Retro Summit White Wolf Grey, 140, 17, 113, -19.29
Air Force, Air Force 1 High Riccardo Tisci All-Star 2018 (Black), 220, 190, 204, -7.27
Air Force, Air Force 1 High Riccardo Tisci All-Star 2018 (Pink), 220, 180, 158, -28.18
Air Force, Air Force 1 High Riccardo Tisci Victorious Minotaurs Black, 275, 61, 209, -24
Air Force, Air Force 1 High Riccardo Tisci Victorious Minotaurs White, 275, 51, 239, -13.09
Air Force, Air Force 1 High SL Easter 2017, 275, 1, 120, -56.36
Air Force, Air Force 1 High SL Vachetta Tan, 275, 38, 127, -53.82
Air Force, Air Force 1 High Sheed Think 16 (Rude Awakening), 130, 860, 144, 10.77
Air Force, Air Force 1 High Sport NBA Midnight Navy University Red, 110, 4, 106, -3.64
Air Force, Air Force 1 High Sport NBA White Team Orange Game Royal, 110, 11, 111, 0.91
Air Force, Air Force 1 High Stash (AF100), 200, 3, 667, 233.5
Air Force, Air Force 1 High Supreme World Famous Black, 150, 14, 751, 400.67
Air Force, Air Force 1 High Supreme World Famous Red, 150, 50, 837, 458
Air Force, Air Force 1 High Supreme World Famous White, 150, 32, 752, 401.33
Air Force, Air Force 1 High Tech Tuff Black, 100, 4, 85, -15
Air Force, Air Force 1 High Tisci Black, 320, 3, 332, 3.75
Air Force, Air Force 1 High Tisci Tan, 320, 14, 325, 1.56
Air Force, Air Force 1 High Tisci White, 320, 4, 372, 16.25
Air Force, Air Force 1 High Triple Black (2017), 100, 67, 74, -26
Air Force, Air Force 1 High Utility Olive Canvas (W), 110, 2, 110, 0
Air Force, Air Force 1 High Utility Particle Beige (W), 110, 11, 170, 54.55
Air Force, Air Force 1 High Utility White Light Cream (W), 110, 7, 133, 20.91
Air Force, Air Force 1 High WB Bordeaux (GS), 95, 2, 70, -26.32
Air Force, Air Force 1 High Wheat (2015), 140, 36, 127, -9.29
Air Force, Air Force 1 High Wheat 2015 (GS), 95, 43, 108, 13.68
Air Force, Air Force 1 High Wheat 2016 (W), 140, 10, 144, 2.86
Air Force, Air Force 1 High Wheat Gum 2018 (GS), 100, 1, 95, -5
Air Force, Air Force 1 High White (2016), 100, 222, 83, -17
Air Force, Air Force 1 High Woven Gym Red, 150, 2, 65, -56.67
Air Force, Air Force 1 High maharishi Navy, 153, 8, 270, 76.47
Air Force, Air Force 1 High maharishi Red, 153, 6, 286, 86.93
Air Force, Air Force 1 Jester XX Black Sonic Yellow Arctic Orange (W), 110, 31, 126, 14.55
Air Force, Air Force 1 Jester XX Light Bone Team Orange (W), 110, 26, 130, 18.18
Air Force, Air Force 1 Jester XX Off White (W), 130, 206, 162, 24.62
Air Force, Air Force 1 Jester XX Rox Brown (W), 130, 26, 92, -29.23
Air Force, Air Force 1 Jester XX Triple Black (W), 110, 5, 130, 18.18
Air Force, Air Force 1 Jester XX Triple White (W), 110, 62, 125, 13.64
Air Force, Air Force 1 Jester XX Violet Mist (W), 130, 140, 187, 43.85
Air Force, Air Force 1 Jester XX White University Red (W), 130, 15, 126, -3.08
Air Force, Air Force 1 LV8 Low Iridescent (GS), 85, 14, 76, -10.59
Air Force, Air Force 1 Lover XX Cinder Orange (W), 120, 1, 25, -79.17
Air Force, Air Force 1 Lover XX Off White (W), 120, 36, 92, -23.33
Air Force, Air Force 1 Low '07 Black Gum, 100, 5, 140, 40
Air Force, Air Force 1 Low '07 Camper Green Gum, 100, 3, 98, -2
Air Force, Air Force 1 Low '07 Monarch Gum, 100, 1, 120, 20
Air Force, Air Force 1 Low '07 Pewter Gum, 100, 4, 115, 15
Air Force, Air Force 1 Low 1-100 (W), 120, 74, 153, 27.5
Air Force, Air Force 1 Low 112 Pack, 100, 3, 342, 242
Air Force, Air Force 1 Low 3D Chenille Swoosh Black Cool Grey, 90, 15, 80, -11.11
Air Force, Air Force 1 Low 3D Chenille Swoosh USA (GS), 85, 13, 102, 20
Air Force, Air Force 1 Low 3D Chenille Swoosh White Red Blue, 100, 550, 112, 12
Air Force, Air Force 1 Low 90-10 All-Star (2018), 130, 453, 161, 23.85
Air Force, Air Force 1 Low A Cold Wall Black, 190, 438, 217, 14.21
Air Force, Air Force 1 Low A Cold Wall White, 190, 1046, 246, 29.47
Air Force, Air Force 1 Low Afro Punk, 100, 45, 67, -33
Air Force, Air Force 1 Low Afro Punk (Khaki), 100, 17, 79, -21
Air Force, Air Force 1 Low Aizome Navy, 200, 7, 139, -30.5
Air Force, Air Force 1 Low All Over Logo Black, 120, 136, 107, -10.83
Air Force, Air Force 1 Low All Over Logo Red, 90, 228, 113, 25.56
Air Force, Air Force 1 Low All Over Logo White, 90, 129, 110, 22.22
Air Force, Air Force 1 Low All-Star 2009 DJ Clark Kent, 175, 3, 135, -22.86
Air Force, Air Force 1 Low All-Star 2010 White, 100, 1, 125, 25
Air Force, Air Force 1 Low Amare Stoudemire New Six, 125, 5, 95, -24
Air Force, Air Force 1 Low Asteroid, 100, 1, 50, -50
Air Force, Air Force 1 Low BHM (2012), 135, 8, 169, 25.19
Air Force, Air Force 1 Low Barcelona Mini Swoosh, 95, 57, 131, 37.89
Air Force, Air Force 1 Low Black, 90, 18, 91, 1.11
Air Force, Air Force 1 Low Black Gum (W), 100, 6, 81, -19
Air Force, Air Force 1 Low Black Sail, 90, 88, 112, 24.44
Air Force, Air Force 1 Low Black Turquoise, 95, 1, 100, 5.26
Air Force, Air Force 1 Low Black University Red, 100, 1, 120, 20
Air Force, Air Force 1 Low Black Velvet (W), 110, 5, 109, -0.91
Air Force, Air Force 1 Low Black Vivid Pink (GS), 75, 1, 120, 60
Air Force, Air Force 1 Low Blue Grey, 150, 2, 83, -44.67
Air Force, Air Force 1 Low Blue Lagoon Multi-Color, 160, 12, 94, -41.25
Air Force, Air Force 1 Low Bobbito Garcia Pilgrim, 125, 4, 144, 15.2
Air Force, Air Force 1 Low Brave Blue Mineral Teal, 90, 1, 173, 92.22
Air Force, Air Force 1 Low Busy P Livestrong, 90, 6, 235, 161.11
Air Force, Air Force 1 Low CLOT 1WORLD (2018), 200, 1718, 377, 88.5
Air Force, Air Force 1 Low CMFT Equality Black History Month (2018), 160, 246, 151, -5.63
Air Force, Air Force 1 Low CMFT Penny Hardaway, 150, 3, 117, -22
Air Force, Air Force 1 Low CMFT Trophy Pack (2014), 135, 2, 140, 3.7
Air Force, Air Force 1 Low CR7 Golden Patchwork, 115, 365, 221, 92.17
Air Force, Air Force 1 Low Camo Dark Stucco, 100, 12, 75, -25
Air Force, Air Force 1 Low Camo Olive, 100, 272, 83, -17
Air Force, Air Force 1 Low Camo Orange, 100, 128, 88, -12
Air Force, Air Force 1 Low Camouflage Palm Green, 90, 2, 115, 27.78
Air Force, Air Force 1 Low Canvas Black, 130, 101, 87, -33.08
Air Force, Air Force 1 Low Canvas December Sky, 130, 4, 135, 3.85
Air Force, Air Force 1 Low Canvas Desert Sand, 100, 29, 69, -31
Air Force, Air Force 1 Low Canvas Light Bone, 130, 47, 89, -31.54
Air Force, Air Force 1 Low Canvas Medium Olive, 100, 4, 63, -37
Air Force, Air Force 1 Low Carhartt WIP Ale Brown, 130, 715, 126, -3.08
Air Force, Air Force 1 Low Carhartt WIP Ale Brown (GS), 100, 12, 89, -11
