brand, total_sales, type
Nike, 58, Air Force
Nike, 37, Air Force
Nike, 1, Air Force
Nike, 2, Air Force
Nike, 4, Air Force
Nike, 5, Air Force
Nike, 6, Air Force
Nike, 2, Air Force
Nike, 11, Air Force
Nike, 24, Air Force
Nike, 60, Air Force
Nike, 61, Air Force
Nike, 3, Air Force
Nike, 32, Air Force
Nike, 30, Air Force
Nike, 1, Air Force
Nike, 3, Air Force
Nike, 15, Air Force
Nike, 4, Air Force
Nike, 738, Air Force
Nike, 923, Air Force
Nike, 5, Air Force
Nike, 202, Air Force
Nike, 36, Air Force
Nike, 178, Air Force
Nike, 43, Air Force
Nike, 2, Air Force
Nike, 5, Air Force
Nike, 1, Air Force
Nike, 33, Air Force
Nike, 452, Air Force
Nike, 2, Air Force
Nike, 4, Air Force
Nike, 8, Air Force
Nike, 2, Air Force
Nike, 508, Air Force
Nike, 80, Air Force
Nike, 145, Air Force
Nike, 2, Air Force
Nike, 10, Air Force
Nike, 22, Air Force
Nike, 1, Air Force
Nike, 2, Air Force
Nike, 7, Air Force
Nike, 67, Air Force
Nike, 12, Air Force
Nike, 3, Air Force
Nike, 16, Air Force
Nike, 33, Air Force
Nike, 512, Air Force
Nike, 25, Air Force
Nike, 9, Air Force
Nike, 8, Air Force
Nike, 24, Air Force
Nike, 21, Air Force
Nike, 4, Air Force
Nike, 178, Air Force
Nike, 504, Air Force
Nike, 297, Air Force
Nike, 2, Air Force
Nike, 4, Air Force
Nike, 6, Air Force
Nike, 1, Air Force
Nike, 17, Air Force
Nike, 190, Air Force
Nike, 180, Air Force
Nike, 61, Air Force
Nike, 51, Air Force
Nike, 1, Air Force
Nike, 38, Air Force
Nike, 860, Air Force
Nike, 4, Air Force
Nike, 11, Air Force
Nike, 3, Air Force
Nike, 14, Air Force
Nike, 50, Air Force
Nike, 32, Air Force
Nike, 4, Air Force
Nike, 3, Air Force
Nike, 14, Air Force
Nike, 4, Air Force
Nike, 67, Air Force
Nike, 2, Air Force
Nike, 11, Air Force
Nike, 7, Air Force
Nike, 2, Air Force
Nike, 36, Air Force
Nike, 43, Air Force
Nike, 10, Air Force
Nike, 1, Air Force
Nike, 222, Air Force
Nike, 2, Air Force
Nike, 8, Air Force
Nike, 6, Air Force
Nike, 31, Air Force
Nike, 26, Air Force
Nike, 206, Air Force
Nike, 26, Air Force
Nike, 5, Air Force
Nike, 62, Air Force
Nike, 140, Air Force
Nike, 15, Air Force
Nike, 14, Air Force
Nike, 1, Air Force
Nike, 36, Air Force
Nike, 5, Air Force
Nike, 3, Air Force
Nike, 1, Air Force
Nike, 4, Air Force
Nike, 74, Air Force
Nike, 3, Air Force
Nike, 15, Air Force
Nike, 13, Air Force
Nike, 550, Air Force
Nike, 453, Air Force
Nike, 438, Air Force
Nike, 1046, Air Force
Nike, 45, Air Force
Nike, 17, Air Force
Nike, 7, Air Force
Nike, 136, Air Force
Nike, 228, Air Force
Nike, 129, Air Force
Nike, 3, Air Force
Nike, 1, Air Force
Nike, 5, Air Force
Nike, 1, Air Force
Nike, 8, Air Force
Nike, 57, Air Force
Nike, 18, Air Force
Nike, 6, Air Force
Nike, 88, Air Force
Nike, 1, Air Force
Nike, 1, Air Force
Nike, 5, Air Force
Nike, 1, Air Force
Nike, 2, Air Force
Nike, 12, Air Force
Nike, 4, Air Force
Nike, 1, Air Force
Nike, 6, Air Force
Nike, 1718, Air Force
Nike, 246, Air Force
Nike, 3, Air Force
Nike, 2, Air Force
Nike, 365, Air Force
Nike, 12, Air Force
Nike, 272, Air Force
Nike, 128, Air Force
Nike, 2, Air Force
Nike, 101, Air Force
Nike, 4, Air Force
Nike, 29, Air Force
Nike, 47, Air Force
Nike, 4, Air Force
Nike, 715, Air Force
Nike, 12, Air Force
Nike, 1, Air Force
Nike, 6, Air Force
Nike, 205, Air Force
Nike, 3, Air Force
Nike, 31, Air Force
Nike, 1, Air Force
