name, premium, brand, retail_price
Air Force 1 Foamposite Cup Light Carbon, -53, Nike, 200
Air Force 1 Foamposite Cup Triple Black, -48, Nike, 200
Air Force 1 Foamposite Pro Cup Coral Stardust, -53.33, Nike, 180
Air Force 1 Foamposite Pro Cup Triple White, -36.11, Nike, 180
Air Force 1 High Black History Month (2018), 15.38, Nike, 130
Air Force 1 High Flax (2017), -10, Nike, 140
Air Force 1 High Flax 2017 (GS), 12.63, Nike, 95
Air Force 1 High Just Don (AF100), -11, Nike, 200
Air Force 1 High PSNY Black, -6, Nike, 200
Air Force 1 High PSNY Grey, 22.5, Nike, 200
Air Force 1 High PSNY White, 11.5, Nike, 200
Air Force 1 High Riccardo Tisci All-Star 2018 (Black), -7.27, Nike, 220
Air Force 1 High Riccardo Tisci All-Star 2018 (Pink), -28.18, Nike, 220
Air Force 1 High Sheed Think 16 (Rude Awakening), 10.77, Nike, 130
Air Force 1 High White (2016), -17, Nike, 100
Air Force 1 Jester XX Off White (W), 24.62, Nike, 130
Air Force 1 Jester XX Violet Mist (W), 43.85, Nike, 130
Air Force 1 Low 3D Chenille Swoosh White Red Blue, 12, Nike, 100
Air Force 1 Low 90-10 All-Star (2018), 23.85, Nike, 130
Air Force 1 Low A Cold Wall Black, 14.21, Nike, 190
Air Force 1 Low A Cold Wall White, 29.47, Nike, 190
Air Force 1 Low All Over Logo Black, -10.83, Nike, 120
Air Force 1 Low All Over Logo Red, 25.56, Nike, 90
Air Force 1 Low All Over Logo White, 22.22, Nike, 90
Air Force 1 Low CLOT 1WORLD (2018), 88.5, Nike, 200
Air Force 1 Low CMFT Equality Black History Month (2018), -5.63, Nike, 160
Air Force 1 Low CR7 Golden Patchwork, 92.17, Nike, 115
Air Force 1 Low Camo Olive, -17, Nike, 100
Air Force 1 Low Camo Orange, -12, Nike, 100
Air Force 1 Low Canvas Black, -33.08, Nike, 130
Air Force 1 Low Carhartt WIP Ale Brown, -3.08, Nike, 130
Air Force 1 Low Caribana Festival Toronto, -25.83, Nike, 120
Air Force 1 Low De Lo Mio, 55.76, Nike, 165
Air Force 1 Low Desert Camo Team Gold, -26, Nike, 100
Air Force 1 Low Doernbecher 2018 (W), 30, Nike, 90
Air Force 1 Low Easter (2018), -16.92, Nike, 130
Air Force 1 Low Flax (2017), -10, Nike, 120
Air Force 1 Low Flax (2018), -19.17, Nike, 120
Air Force 1 Low Hong Kong (2018), -45.38, Nike, 130
Air Force 1 Low John Elliott White, 0, Nike, 150
Air Force 1 Low Just Do It Pack Black, -2, Nike, 100
Air Force 1 Low Just Do It Pack Orange, -9, Nike, 100
Air Force 1 Low Just Do It Pack Total Orange, 10, Nike, 130
Air Force 1 Low Just Do It Pack White (GS), 47.06, Nike, 85
Air Force 1 Low Los Primeros, -27.33, Nike, 150
Air Force 1 Low NBA Amarillo, 34, Nike, 100
Air Force 1 Low Off-White, 485.29, Nike, 170
Air Force 1 Low Off-White Black White, 198.82, Nike, 170
Air Force 1 Low Off-White Black White (I), 90, Nike, 50
Air Force 1 Low Off-White Black White (TD), 123.08, Nike, 65
Air Force 1 Low Off-White Volt, 130, Nike, 170
Air Force 1 Low Off-White Volt (I), 90, Nike, 50
Air Force 1 Low Off-White Volt (TD), 129.23, Nike, 65
Air Force 1 Low Playstation (2018), 90, Nike, 200
Air Force 1 Low Retro DSM White, 26.15, Nike, 130
Air Force 1 Low Roc-A-Fella (AF100), 2.67, Nike, 150
Air Force 1 Low Rose Velvet, -14.62, Nike, 130
Air Force 1 Low Skeleton Halloween (2018), 24.62, Nike, 130
Air Force 1 Low Supreme Comme des Garcons Shirt, 167.11, Nike, 228
Air Force 1 Low Supreme x Comme des Garcons (2018), 80.61, Nike, 165
Air Force 1 Low Swoosh Pack All-Star 2018 (Black), 59.09, Nike, 110
Air Force 1 Low Swoosh Pack All-Star 2018 (Sail), 66.36, Nike, 110
Air Force 1 Low Swoosh Pack All-Star 2018 (White), 78.18, Nike, 110
Air Force 1 Low Swoosh Pack All-Star 2018 White (GS), 64.21, Nike, 95
Air Force 1 Low Taiwan (2018), 78.46, Nike, 130
Air Force 1 Low Think 16 (Fo Fi Fo), -14.62, Nike, 130
Air Force 1 Low Travis Scott (AF100), 270, Nike, 150
Air Force 1 Low Travis Scott Sail, 108.67, Nike, 150
Air Force 1 Low Utility Black White, 26, Nike, 100
Air Force 1 Low Utility Carhartt WIP Camo, -18.79, Nike, 165
Air Force 1 Low Utility Olive Canvas, 24, Nike, 100
Air Force 1 Low Utility White Black, 27, Nike, 100
Air Force 1 Low Utility White Black (GS), 22.35, Nike, 85
Air Force 1 Low White 2018 (W), 30, Nike, 90
Air Force 1 Low Winter Camo, 17, Nike, 100
Air Force 1 Mid Supreme NBA Black, 39.39, Nike, 165
Air Force 1 Mid Supreme NBA White, 63.64, Nike, 165
Air Force 1 Mid Utility University Red, 31.3, Nike, 115
Air Force 1 Mid Utility White Black, 32.17, Nike, 115
Air Force 1 Mid White '07, -9.47, Nike, 95
Air Force 1 Sage Low Particle Beige (W), 29, Nike, 100
Air Force 1 Sage Low Triple White (W), 32, Nike, 100
Air Force 1 Ultra Flyknit Low RKK New England Patriots (2018), 53.12, Nike, 160
Air Force 1 Utility Odell Beckham Jr, 8.97, Nike, 145
Air Force 1 Utility Volt 2, 6, Nike, 100
Air Force 1 Utility White Black, 29.66, Nike, 145
Air Force 270 Black White, -21.25, Nike, 160
Air Force 270 Phantom, 25, Nike, 160
Air Force 270 Safari, -13.75, Nike, 160
Air Force 270 Wolf Grey, -18.13, Nike, 160
Lunar Force 1 Low Acronym (AF100), 29.5, Nike, 200
Nike Lunar Force 1 Duckboot Black Gum, -26.67, Nike, 165
Nike Lunar Force 1 Duckboot Metallic Gold, -43.53, Nike, 170
Nike Lunar Force 1 Duckboot Winter White, -38.89, Nike, 180
Nike SF Air Force 1 High Court Purple, -39.44, Nike, 180
Nike SF Air Force 1 High Desert Ochre, -58.33, Nike, 180
Nike SF Air Force 1 High Light Bone (W), -54.44, Nike, 180
Nike SF Air Force 1 High Lunar New Year (2018), -13.89, Nike, 180
Nike SF Air Force 1 High Triple Black, -37.84, Nike, 185
Nike SF Air Force 1 High Triple Black (W), -50.81, Nike, 185
Nike SF Air Force 1 High Winter Camo, -24, Nike, 200
Nike SF Air Force 1 Mid Black Gum, -49.38, Nike, 160
Nike SF Air Force 1 Mid Silt Red (W), -33.75, Nike, 160
Nike SF Air Force 1 Mid Winter Camo, -32.94, Nike, 170
SF Air Force 1 Desert Camo, -10, Nike, 180
SF Air Force 1 High Black Dark Grey, -45.5, Nike, 200
SF Air Force 1 High Black Dynamic Yellow, -58.33, Nike, 180
SF Air Force 1 High Camo, -47.22, Nike, 180
SF Air Force 1 High Deep Burgundy, -53.33, Nike, 180
SF Air Force 1 High Dusty Peach, -52.22, Nike, 180
SF Air Force 1 High Force Is Female Vintage Wine (W), -49.44, Nike, 180
SF Air Force 1 High Game Royal, -46.11, Nike, 180
SF Air Force 1 Mid Black Dark Hazel, -51.76, Nike, 170
SF Air Force 1 Mid Ivory Mars Stone, -50, Nike, 170
SF Air Force 1 Mid Ivory Olive, -47.06, Nike, 170
SF Air Force 1 Mid Mushroom, -56.88, Nike, 160
SF Air Force 1 Mid Odell Beckham Jr., -44.38, Nike, 160
SF Air Force 1 Mid Triple Black, -50.62, Nike, 160
SF Air Force 1 Mid Triple Ivory, -5.63, Nike, 160
Air Force 1 Low White 2014 (GS), 1.33, Nike, 75
Nike Lunar Force 1 Duckboot Black, -50, Nike, 170
Nike Lunar Force 1 Duckboot Medium Olive, -49.41, Nike, 170
Nike SF Air Force 1 High Navy Gum, -53.89, Nike, 180
Air Max 1 Anniversary Aqua, -25.71, Nike, 140
Air Max 1 Anniversary Obsidian, 40.71, Nike, 140
Air Max 1 Anniversary Red (2017-2018 Restock Pair), 3.57, Nike, 140
Air Max 1 Anniversary Royal (2017 Restock Pair), 35.71, Nike, 140
Air Max 1 Atmos Animal Pack 2.0 (2018 All Black Box), 78.75, Nike, 160
Air Max 1 Atmos Elephant (2017), 249.33, Nike, 150
Air Max 1 Atmos Safari (2016), 92.67, Nike, 150
Air Max 1 Blue Recall, -17.27, Nike, 110
Air Max 1 Curry (2018), -25.33, Nike, 150
Air Max 1 Curry Pack (Olive), -36.67, Nike, 150
Air Max 1 Curry Pack (Red), -30.67, Nike, 150
Air Max 1 Jewel Black Chrome, -35, Nike, 140
Air Max 1 Jewel Particle Rose, -39.29, Nike, 140
Air Max 1 Jewel University Blue, -23.57, Nike, 140
Air Max 1 Just Do It Orange (W), 30, Nike, 110
Air Max 1 Just Do It Pack Orange, 18.46, Nike, 130
Air Max 1 Just Do It Pack White, 15.38, Nike, 130
Air Max 1 Mars Stone, -12.73, Nike, 110
Air Max 1 Mini Swoosh Bred, -11.54, Nike, 130
Air Max 1 Parra (2018), 144, Nike, 150
Air Max 1 Pompidou Center Day, 61.67, Nike, 120
Air Max 1 Pro Purple Fade, -34.62, Nike, 130
Air Max 1 Rebel Skulls, -20.83, Nike, 120
Air Max 1 Ripstop Dark Grey, -40, Nike, 120
Air Max 1 Sand Black, -14.55, Nike, 110
Air Max 1 Snow Beach, -20, Nike, 140
Air Max 1 Wolf Grey Black, -0.91, Nike, 110
Air Max 1 size Dawn, 36.11, Nike, 144
Air Max 1-97 Sean Wotherspoon (Extra Lace Set Only), 263.75, Nike, 160
Air Max 1-97 Sean Wotherspoon (TD), 137, Nike, 100
Air Max 180 Black Pink Blast, -29.23, Nike, 130
Air Max 180 Bright Ceramic, -36.15, Nike, 130
Air Max 180 Comme des Garcons Black, 12.31, Nike, 260
Air Max 180 Comme des Garcons Pink, -12.69, Nike, 260
Air Max 180 Night Ops, -3.33, Nike, 150
Air Max 180 Ultramarine (2018), -23.85, Nike, 130
Air Max 270 Barely Rose (W), -0.67, Nike, 150
Air Max 270 Betrue (2018), 48.75, Nike, 160
Air Max 270 Black Bright Crimson, -19.33, Nike, 150
Air Max 270 Black Hyper Magenta, -17.33, Nike, 150
Air Max 270 Black Total Orange, -4.67, Nike, 150
Air Max 270 Black Volt, 0.67, Nike, 150
Air Max 270 Black Volt Oil Grey, -27.33, Nike, 150
Air Max 270 Black White, -7.33, Nike, 150
Air Max 270 Bowfin University Red Light Citron, -3.12, Nike, 160
Air Max 270 Doernbecher (2018), 30, Nike, 150
Air Max 270 Dusty Cactus, 14.67, Nike, 150
Air Max 270 Habanero Red, -15.33, Nike, 150
Air Max 270 Light Bone Hot Punch, 20.67, Nike, 150
