brand, total_sales, type
Adidas, 68, Iniki
Adidas, 2, Iniki
Adidas, 36, Iniki
Adidas, 12, Iniki
Adidas, 647, Iniki
Adidas, 11, Iniki
Adidas, 5, Iniki
Adidas, 43, Iniki
Adidas, 2, Iniki
Adidas, 24, Iniki
Adidas, 7, Iniki
Adidas, 10, Iniki
Adidas, 9, Iniki
Adidas, 3, Iniki
Adidas, 21, Iniki
Adidas, 100, Iniki
Adidas, 72, Iniki
Adidas, 13, Iniki
Adidas, 211, Iniki
Adidas, 2, Iniki
Adidas, 44, Iniki
Adidas, 34, Iniki
Adidas, 34, Iniki
Adidas, 964, Iniki
Adidas, 76, Iniki
Adidas, 36, Iniki
Adidas, 185, Iniki
Adidas, 16, Iniki
Adidas, 1, Iniki
Adidas, 2, Iniki
Adidas, 8, Iniki
Adidas, 27, Iniki
Adidas, 1, Iniki
Adidas, 73, Iniki
Adidas, 7, Iniki
Adidas, 7, Iniki
Adidas, 224, Iniki
Adidas, 1, Iniki
Adidas, 209, Iniki
Adidas, 47, Iniki
Adidas, 44, Iniki
Adidas, 48, Iniki
Adidas, 7, Iniki
Adidas, 514, Iniki
Adidas, 95, Iniki
Adidas, 118, Iniki
Adidas, 1, Iniki
Adidas, 29, Iniki
Adidas, 4, Iniki
Adidas, 15, Iniki
Adidas, 16, Iniki
Adidas, 31, Iniki
Adidas, 3, Iniki
Adidas, 187, Iniki
Adidas, 8, Iniki
Adidas, 221, Iniki
Adidas, 2, Iniki
Adidas, 75, Iniki
Adidas, 8, Iniki
Adidas, 6, Iniki
Adidas, 145, Iniki
Adidas, 138, Iniki
Adidas, 3, Iniki
Adidas, 23, Iniki
Adidas, 14, Iniki
Adidas, 15, Iniki
Adidas, 11, Iniki
Adidas, 69, Iniki
Adidas, 69, Iniki
Adidas, 271, Iniki
Adidas, 1, Iniki
Adidas, 2921, NMD
Adidas, 4187, NMD
Adidas, 4325, NMD
Adidas, 4105, NMD
Adidas, 1415, NMD
Adidas, 1313, NMD
Adidas, 1317, NMD
Adidas, 910, NMD
Adidas, 36, NMD
Adidas, 1, NMD
Adidas, 6, NMD
Adidas, 10, NMD
Adidas, 20, NMD
Adidas, 5, NMD
Adidas, 48, NMD
Adidas, 2, NMD
Adidas, 5, NMD
Adidas, 5, NMD
Adidas, 20, NMD
Adidas, 679, NMD
Adidas, 33, NMD
Adidas, 32, NMD
Adidas, 414, NMD
Adidas, 73, NMD
Adidas, 38, NMD
Adidas, 513, NMD
Adidas, 228, NMD
Adidas, 8, NMD
Adidas, 18, NMD
Adidas, 8, NMD
Adidas, 16, NMD
Adidas, 1, NMD
Adidas, 3, NMD
Adidas, 393, NMD
Adidas, 38, NMD
Adidas, 46, NMD
Adidas, 155, NMD
Adidas, 106, NMD
Adidas, 124, NMD
Adidas, 44, NMD
Adidas, 4, NMD
Adidas, 326, NMD
Adidas, 19, NMD
Adidas, 51, NMD
Adidas, 178, NMD
Adidas, 52, NMD
Adidas, 74, NMD
Adidas, 6, NMD
Adidas, 67, NMD
Adidas, 40, NMD
Adidas, 24, NMD
Adidas, 100, NMD
Adidas, 127, NMD
Adidas, 45, NMD
Adidas, 59, NMD
Adidas, 32, NMD
Adidas, 40, NMD
Adidas, 101, NMD
Adidas, 202, NMD
Adidas, 71, NMD
Adidas, 190, NMD
Adidas, 2391, NMD
Adidas, 2013, NMD
Adidas, 310, NMD
Adidas, 1358, NMD
Adidas, 2328, NMD
Adidas, 159, NMD
Adidas, 2172, NMD
Adidas, 2832, NMD
Adidas, 3818, NMD
Adidas, 490, NMD
Adidas, 289, NMD
Adidas, 72, NMD
Adidas, 540, NMD
Adidas, 68, NMD
Adidas, 62, NMD
Adidas, 57, NMD
Adidas, 84, NMD
Adidas, 84, NMD
Adidas, 25, NMD
Adidas, 92, NMD
Adidas, 119, NMD
Adidas, 4, NMD
Adidas, 23, NMD
Adidas, 28, NMD
Adidas, 90, NMD
Adidas, 29, NMD
Adidas, 260, NMD
Adidas, 130, NMD
Adidas, 48, NMD
Adidas, 266, NMD
Adidas, 48, NMD
Adidas, 68, NMD
Adidas, 38, NMD
Adidas, 26, NMD
Adidas, 45, NMD
Adidas, 8, NMD
Adidas, 4, NMD
Adidas, 345, NMD
Adidas, 15, NMD
Adidas, 11, NMD
Adidas, 75, NMD
Adidas, 8, NMD
Adidas, 40, NMD
Adidas, 16, NMD
Adidas, 2, NMD
Adidas, 50, NMD
Adidas, 12, NMD
Adidas, 1, NMD
Adidas, 15, NMD
Adidas, 112, NMD
Adidas, 72, NMD
Adidas, 8, NMD
Adidas, 222, NMD
Adidas, 7, NMD
Adidas, 15, NMD
Adidas, 48, NMD
Adidas, 78, NMD
Adidas, 180, NMD
Adidas, 79, NMD
Adidas, 40, NMD
Adidas, 1, NMD
Adidas, 66, NMD
Adidas, 1, NMD
Adidas, 32, NMD
Adidas, 22, NMD
Adidas, 18, NMD
Adidas, 25, NMD
Adidas, 688, NMD
Adidas, 14, NMD
Adidas, 970, NMD
Adidas, 140, NMD
Adidas, 55, NMD
Adidas, 225, NMD
Adidas, 14, NMD
Adidas, 994, NMD
Adidas, 53, NMD
Adidas, 1, NMD
Adidas, 1, NMD
Adidas, 2, NMD
Adidas, 72, NMD
Adidas, 124, NMD
Adidas, 25, NMD
Adidas, 37, NMD
Adidas, 9, NMD
Adidas, 1, NMD
Adidas, 145, NMD
Adidas, 788, NMD
Adidas, 787, NMD
Adidas, 47, NMD
