type, total_sales, name
Kyrie, 111, Kyrie 1 All Star
Kyrie, 25, Kyrie 1 Australia
Kyrie, 59, Kyrie 1 Dream
Kyrie, 11, Kyrie 1 Driveway
Kyrie, 27, Kyrie 1 Duke Brotherhood
Kyrie, 28, Kyrie 1 Easter
Kyrie, 31, Kyrie 1 Independence Day
Kyrie, 45, Kyrie 1 Infrared
Kyrie, 20, Kyrie 1 Letterman
Kyrie, 83, Kyrie 1 Opening Night
Kyrie, 1, Kyrie 1 Pepsi Uncle Drew
Kyrie, 11, Kyrie 1 The Dungeon
Kyrie, 20, Kyrie 1 Venus Flytrap
Kyrie, 28, Kyrie 1 Wolf Grey
Kyrie, 57, Kyrie 2 All Star (2016)
Kyrie, 4, Kyrie 2 All-Star 2016 (GS)
Kyrie, 18, Kyrie 2 Australia
Kyrie, 71, Kyrie 2 BHM (2016)
Kyrie, 17, Kyrie 2 Cavs
Kyrie, 14, Kyrie 2 Crossover
Kyrie, 123, Kyrie 2 Doernbecher
Kyrie, 13, Kyrie 2 Doernbecher (GS)
Kyrie, 85, Kyrie 2 Duke
Kyrie, 6, Kyrie 2 EYBL
Kyrie, 21, Kyrie 2 Easter
Kyrie, 37, Kyrie 2 Gold Medal
Kyrie, 38, Kyrie 2 Inferno
Kyrie, 96, Kyrie 2 Ky-Rispy Kreme (Special Box Version 2) (Not Windowed)
Kyrie, 61, Kyrie 2 Kyrache
Kyrie, 3, Kyrie 2 Kyrache (GS)
Kyrie, 15, Kyrie 2 Kyrie-Oke
Kyrie, 8, Kyrie 2 Omega
Kyrie, 17, Kyrie 2 Parade
Kyrie, 15, Kyrie 2 Red Velvet
Kyrie, 14, Kyrie 2 School Bus (GS)
Kyrie, 7, Kyrie 2 Silver Speckle
Kyrie, 3, Kyrie 2 Skateboard (GS)
Kyrie, 13, Kyrie 2 Summer Pack
Kyrie, 63, Kyrie 2 The Effect
Kyrie, 27, Kyrie 2 Triple Black
Kyrie, 22, Kyrie 2 USA
Kyrie, 91, Kyrie 2 What The Kyrie Sail
Kyrie, 27, Kyrie 2 What the Kyrie Green Glow
Kyrie, 71, Kyrie 3 BHM (2017)
Kyrie, 27, Kyrie 3 Black Ice
Kyrie, 207, Kyrie 3 Black Suede
Kyrie, 12, Kyrie 3 Candy Apple Red (GS)
Kyrie, 12, Kyrie 3 Cool Grey
Kyrie, 91, Kyrie 3 Duke
Kyrie, 49, Kyrie 3 EYBL
Kyrie, 144, Kyrie 3 Finals Gold
Kyrie, 27, Kyrie 3 Hyper Cobalt "Duke"
Kyrie, 20, Kyrie 3 Ivory
Kyrie, 108, Kyrie 3 Kyrache Light
Kyrie, 1, Kyrie 3 Mac and Cheese (GS)
Kyrie, 393, Kyrie 3 Mamba Mentality Bruce Lee
Kyrie, 4, Kyrie 3 N7 (2017)
Kyrie, 11, Kyrie 3 Obsidian
Kyrie, 192, Kyrie 3 Red Suede
Kyrie, 64, Kyrie 3 Samurai
Kyrie, 15, Kyrie 3 Summer Pack (GS)
Kyrie, 28, Kyrie 3 Team Red
Kyrie, 31, Kyrie 3 Three Point Contest Candy Apple
Kyrie, 59, Kyrie 3 Time to Shine
Kyrie, 33, Kyrie 3 Triple Black
Kyrie, 19, Kyrie 3 What the Kyrie (GS)
Kyrie, 276, Kyrie 4 70s (Decades Pack)
Kyrie, 9, Kyrie 4 70s (GS)
Kyrie, 223, Kyrie 4 80s (Decades Pack)
Kyrie, 2, Kyrie 4 80s Decades Pack (GS)
Kyrie, 218, Kyrie 4 90s (Decades Pack)
Kyrie, 782, Kyrie 4 All-Star (2018)
Kyrie, 27, Kyrie 4 All-Star 2018 (GS)
Kyrie, 128, Kyrie 4 Ankle Taker
Kyrie, 28, Kyrie 4 Atomic Pink (GS)
Kyrie, 49, Kyrie 4 Black History Month 2018 (GS)
Kyrie, 191, Kyrie 4 Black Metallic Silver
Kyrie, 8, Kyrie 4 Black White
Kyrie, 121, Kyrie 4 Blackout
Kyrie, 2, Kyrie 4 Boston University
Kyrie, 438, Kyrie 4 Chinese New Year (2018)
Kyrie, 79, Kyrie 4 Cinnamon Toast Crunch (GS)
Kyrie, 196, Kyrie 4 City Guardians
Kyrie, 89, Kyrie 4 Concepts Green Lobster (Special Box)
Kyrie, 698, Kyrie 4 Confetti
Kyrie, 107, Kyrie 4 Confetti (GS)
Kyrie, 626, Kyrie 4 Day of the Dead
Kyrie, 700, Kyrie 4 Equality Black History Month (2018)
Kyrie, 10, Kyrie 4 Fall Foliage
Kyrie, 4, Kyrie 4 Game Royal
Kyrie, 840, Kyrie 4 Halloween
Kyrie, 50, Kyrie 4 Halloween (GS)
Kyrie, 452, Kyrie 4 Kix
Kyrie, 14, Kyrie 4 Kix (GS)
Kyrie, 1, Kyrie 4 Little Big Cats (TD)
Kyrie, 13, Kyrie 4 London
Kyrie, 14, Kyrie 4 Low White Black
Kyrie, 3003, Kyrie 4 Lucky Charms
Kyrie, 329, Kyrie 4 Lucky Charms (GS)
Kyrie, 103, Kyrie 4 N7 (2018)
Kyrie, 64, Kyrie 4 Pitch Blue
Kyrie, 176, Kyrie 4 Power Is Female
Kyrie, 164, Kyrie 4 Think 16
Kyrie, 559, Kyrie 4 Uncle Drew
Kyrie, 1, Kyrie 4 Uncle Drew (GS)
Kyrie, 7, Kyrie 4 University Red
Kyrie, 9, Kyrie 4 White Black
Kyrie, 24, Kyrie 4 White Deep Royal Blue
Kyrie, 228, Kyrie 4 Year of the Monkey
Kyrie, 16, Kyrie 5 BHM (2019)
Kyrie, 294, Kyrie 5 Black Magic
Kyrie, 2113, Kyrie 5 Concepts Ikhet
Kyrie, 12, Kyrie 5 Just Do It (GS)
Kyrie, 209, Kyrie 5 Multi-Color
Kyrie, 1707, Kyrie 5 Taco PE
Kyrie, 3, Kyrie Flytrap Black Gunsmoke
Kyrie, 33, Kyrie Low 1 Amarillo
Kyrie, 1, Kyrie Low 1 Floral
Kyrie, 31, Kyrie Low 1 Hot Punch
Kyrie, 13, Kyrie Low 1 Triple Black
Kyrie, 56, Kyrie Low 1 Uncle Drew
Kyrie, 46, Kyrie Low 1 White Black
Kyrie, 32, Nike Basketball LeBron Kyrie Four Wins Game 3 Homecoming Championship Pack
Kyrie, 27, Nike Basketball LeBron Kyrie Four Wins Game 5 Forty Ones Championship Pack
Kyrie, 28, Nike Basketball LeBron Kyrie Four Wins Game 6 Unbroken Championship Pack
Kyrie, 36, Nike Basketball LeBron Kyrie Four Wins Game 7 Fifty-Two Years Championship Pack
Kyrie, 6, Nike Hyperdunk 2013 Kyrie Irving Australia PE
Kyrie, 13, Nike Kyrie 3 Sneaker Room Mom (Red)
Kyrie, 278, Nike Kyrie S1 Hybrid What The (Multicolor)
PG, 41, Nike PG 1 Baseline
PG, 128, Nike PG 1 Black Aqua
PG, 133, Nike PG 1 Black Gum
PG, 18, Nike PG 1 Black Ice
PG, 132, Nike PG 1 Black University Gold
PG, 123, Nike PG 1 Bright Violet
PG, 38, Nike PG 1 Elements
PG, 34, Nike PG 1 Flip the Switch
PG, 86, Nike PG 1 Game Royal
PG, 13, Nike PG 1 Glacier Grey
PG, 77, Nike PG 1 Ivory
PG, 1, Nike PG 1 Prototype (GS)
PG, 7, Nike PG 1 Score In Bunches (GS)
PG, 135, Nike PG 1 Shining "Pre-Heat"
PG, 211, Nike PG 1 USA
PG, 52, Nike PG 1 University Red
PG, 121, Nike PG 1 Volt
PG, 20, Nike PG 1 White Ice
PG, 47, Nike PG 2 ACG
PG, 28, Nike PG 2 Anthracite Hot Punch
PG, 96, Nike PG 2 Blue Lagoon
PG, 954, Nike PG 2 Playstation
PG, 1, Nike PG 2 Pure Platinum (GS)
PG, 36, Nike PG 2.5 Black Photo Blue
PG, 4, Nike PG 2.5 Black Pure Platinum
PG, 83, Nike PG 2.5 Dark Grey
PG, 40, Nike PG 2.5 Fresno State
PG, 46, Nike PG 2.5 Pendleton
PG, 994, Nike PG 2.5 Playstation Multi-Color
PG, 553, Nike PG 2.5 Playstation White
PG, 6134, Nike PG 2.5 Playstation Wolf Grey
PG, 517, Nike PG 2.5 Playstation Wolf Grey (GS)
PG, 5, Nike PG 3 BHM (2019)
PG, 1121, Nike PG 3 NASA
PG, 38, Nike PG 3 NASA (Finishline Special Box)
PG, 14, Nike PG 3 NASA (GS)
PG, 15, PG 1 Pure Platinum
PG, 41, PG 1 The Bait
PG, 130, PG 2 All-Star (2018)
PG, 1, PG 2 All-Star 2018 (GS)
PG, 146, PG 2 Home
PG, 270, PG 2 Mamba Mentality
PG, 131, PG 2 NCAA
PG, 24, PG 2 Pure Platinum
PG, 50, PG 2 Taurus
PG, 1, PG 2 Taurus (GS)
PG, 66, PG 2 White Ice
PG, 73, PG 2.5 Moon Exploration
PG, 9, PG 2.5 Racer Blue
Kyrie, 46, Kyrie 1 BHM
Kyrie, 46, Kyrie 1 Deceptive Red
Kyrie, 16, Kyrie 2 Battle Grey
Kyrie, 51, Kyrie 2 Christmas
Kyrie, 14, Kyrie 2 Ky-Rispy Kreme (Special Box Version 1) (Windowed)
Kyrie, 3, Kyrie 2 Wolf Pack
Kyrie, 112, Kyrie 3 Aqua
Kyrie, 11, Kyrie 3 Black Yellow
Kyrie, 76, Kyrie 3 Flip the Switch
Kyrie, 6, Kyrie 3 Luck
Kyrie, 10, Kyrie 3 Ray Gun
Kyrie, 88, Kyrie 3 TB Black White
Kyrie, 217, Kyrie 4 Dark Obsidian "Think Twice"
Kyrie, 337, Kyrie 4 Mamba Mentality
Kyrie, 699, Kyrie 4 Red Carpet
Kyrie, 8, Kyrie 4 Tiffany (GS)
Kyrie, 1062, Kyrie 5 Concepts Ikhet (Special Box)
Kyrie, 221, Kyrie 5 Just Do It
Kyrie, 8, Kyrie Low 1 Black Metallic Silver
PG, 50, Nike PG 1 EYBL
Kyrie, 1, Kyrie 3 Mountain Dew K.A.R.E. Kit
Kyrie, 10, Kyrie 3 PK80
Kyrie, 41, Kyrie 3 White Chrome
Kyrie, 48, Kyrie 4 Cinnamon Toast Crunch (Special Cereal Box Package)
Kyrie, 62, Kyrie 4 Kix (Special Cereal Box Package)
Kyrie, 65, Kyrie 4 Lucky Charms (Special Cereal Box Package)
Kyrie, 15, Kyrie 4 NBA 2K18
PG, --, Nike PG 1 BHM
PG, 18, Nike PG 2 EYBL
PG, --, Nike PG 2 Playstation Pack (F&F)
Kyrie, 2, Kyrie 4 Midnight Navy
Kyrie, 314, Kyrie 4 NCAA
Kyrie, 1770, Kyrie 4 Cinnamon Toast Crunch
Kyrie, 31, Nike Kyrie S1 Hybrid Black
Kyrie, 16, Nike Kyrie S1 Hybrid Blue-Gold
Kyrie, 8, Kyrie 2 EYBL Promo
PG, 12, Nike PG 1 Black History Month (2018)
Kyrie, 2, Kyrie 1 Easter (GS)
Kyrie, 21, Kyrie 1 Rise LTD
Kyrie, 3, Kyrie 2 Drew League (Nike ID)
Kyrie, 13, Kyrie 4 Concepts Yellow Lobster
Kyrie, 87, Kyrie 5 Chinese New Year 2019
KD, --, KD 1 Texas
KD, --, KD 10 All-Star (2018)
KD, 50, KD 10 Anniversary
KD, 383, KD 10 Aunt Pearl
KD, 115, KD 10 Aunt Pearl (GS)
KD, 9, KD 10 Aunt Pearl (PS)
KD, 11, KD 10 Aunt Pearl (TD)
KD, 193, KD 10 Black History Month (2018)
KD, 116, KD 10 Black White
KD, 1, KD 10 Black White (GS)
KD, 269, KD 10 Blackout
KD, 9, KD 10 Blackout (GS)
KD, 14, KD 10 Blinders
KD, 4, KD 10 Bred (GS)
KD, 90, KD 10 Cool Grey Igloo
KD, --, KD 10 Cool Grey Igloo (W)
KD, 19, KD 10 Dark Grey
KD, 19, KD 10 Dark Stucco
KD, 70, KD 10 Finals
KD, 89, KD 10 Hyper Turquoise
KD, 137, KD 10 Multi-Color
KD, --, KD 10 NFS
KD, 235, KD 10 Numbers
KD, 18, KD 10 Olive
KD, 73, KD 10 Oreo
KD, 4, KD 10 Pale Grey
KD, 76, KD 10 Platinum
KD, 4, KD 10 Racer Blue
KD, 9, KD 10 Royal Foamposite (GS)
KD, 62, KD 10 Still KD
KD, 5, KD 10 Still KD (SNKRS Exclusive With Pin Set)
KD, 114, KD 10 University Red
KD, 1, KD 10 University Red (GS)
KD, 58, KD 10 What the
KD, 51, KD 10 Wolf Grey
KD, 1, KD 11 BHM (2019)
KD, 24, KD 11 Black Twilight Pulse
KD, 2, KD 11 Black White Racer Blue
KD, 17, KD 11 Chinese Zodiac
KD, 2, KD 11 Chinese Zodiac (GS)
KD, 33, KD 11 Cool Grey
KD, 1, KD 11 EP EYBL
KD, 1075, KD 11 EYBL
KD, 40, KD 11 EYBL (GS)
KD, 14, KD 11 Just Do It
KD, 1, KD 11 Little Big Cats (TD)
KD, 121, KD 11 Multi-Color Metallic Gold
KD, 201, KD 11 Paranoid
KD, 127, KD 11 Still KD
KD, --, KD 2 All-Star (2010)
KD, 1, KD 2 OKC Away
KD, 2, KD 3 All star
KD, --, KD 3 Carbon Fiber
KD, 6, KD 3 Christmas
KD, 1, KD 3 EA Sports
KD, 2, KD 3 LS Scoring Title
KD, --, KD 3 Midnight Navy
KD, --, KD 3 Mike Miller
KD, 2, KD 3 OKC Away
KD, 1, KD 3 OKC Home
KD, 6, KD 3 Redskins
KD, 1, KD 3 TB Black
KD, --, KD 3 TB Black White
KD, --, KD 3 TB Green
KD, --, KD 3 TB Red
KD, --, KD 3 TB Royal
KD, --, KD 3 Texas
KD, 1, KD 3 Wolf Grey Del Sol
KD, 21, KD 4 Aunt Pearl
KD, 13, KD 4 Black History Month
KD, 8, KD 4 Copper (Christmas)
KD, 22, KD 4 Easter
KD, 40, KD 4 Galaxy AS
KD, 33, KD 4 Gold Medal
KD, 4, KD 4 N7 Black
KD, 6, KD 4 N7 White
KD, 7, KD 4 Nerf
KD, 7, KD 4 Rogue Green (UNDFTD)
KD, 12, KD 4 Scoring Title
KD, 13, KD 4 Texas Longhorns
KD, 943, KD 4 Think 16 (Thunderstruck)
KD, 9, KD 4 USA Olympic
KD, 10, KD 4 Weatherman
KD, 30, KD 4 Year of the Dragon
KD, 68, KD 5 All-Star Area 72
KD, 39, KD 5 Aunt Pearl
KD, 7, KD 5 Birch
KD, 13, KD 5 Black History Month
KD, 63, KD 5 Christmas
KD, 32, KD 5 DMV
KD, 27, KD 5 Easter
KD, 8, KD 5 Elite EYBL
KD, 3, KD 5 Elite Playoffs Home
KD, 15, KD 5 Elite Superhero
KD, 5, KD 5 Elite Team Orange
KD, 7, KD 5 Elite+ White Gold
KD, 5, KD 5 Ice Blue
KD, 17, KD 5 N7
KD, 23, KD 5 Splatter
KD, 2, KD 5 What the KD
KD, 76, KD 6 Aunt Pearl
KD, 7, KD 6 Away
KD, 11, KD 6 Away II
KD, 39, KD 6 BHM
KD, 20, KD 6 Bamboo
KD, 49, KD 6 Christmas
KD, 66, KD 6 EXT Floral
KD, 24, KD 6 EXT Gum
KD, 38, KD 6 Easter
KD, 9, KD 6 Elite Fragment Royal
KD, 26, KD 6 Elite Supremacy
KD, 8, KD 6 Elite Team
KD, 20, KD 6 Energy
KD, --, KD 6 GS Candy
KD, 3, KD 6 Home II
KD, 33, KD 6 Liger
KD, 8, KD 6 Light Crimson DC
KD, 14, KD 6 Maryland Blue Crab
KD, 83, KD 6 Meteorology
KD, 31, KD 6 N7
KD, 127, KD 6 NOLA Gumbo League "Illusion"
