brand, total_sales, type
Jordan, 22, 1
Jordan, 6, 1
Jordan, 2, 1
Jordan, 1, 1
Jordan, 1, 1
Jordan, 11, 1
Jordan, 1, 1
Jordan, 1, 1
Jordan, 12, 1
Jordan, 4, 1
Jordan, 9, 1
Jordan, 9, 1
Jordan, 4, 1
Jordan, 10, 1
Jordan, 2, 1
Jordan, 7, 1
Jordan, 1915, 1
Jordan, 1042, 1
Jordan, 191, 1
Jordan, 2, 1
Jordan, 221, 1
Jordan, 3, 1
Jordan, 9, 1
Jordan, 50, 1
Jordan, 43, 1
Jordan, 13, 1
Jordan, 296, 1
Jordan, 8, 1
Jordan, 4, 1
Jordan, 501, 1
Jordan, 166, 1
Jordan, 6, 1
Jordan, 827, 1
Jordan, 187, 1
Jordan, 4, 1
Jordan, 250, 1
Jordan, 3, 1
Jordan, 836, 1
Jordan, 327, 1
Jordan, 243, 1
Jordan, 1, 1
Jordan, 3499, 1
Jordan, 1081, 1
Jordan, 9, 1
Jordan, 1118, 1
Jordan, 7, 1
Jordan, 24, 1
Jordan, 38, 1
Jordan, 3, 1
Jordan, 5, 1
Jordan, 11, 1
Jordan, 20, 1
Jordan, 394, 1
Jordan, 63, 1
Jordan, 13, 1
Jordan, 2058, 1
Jordan, 14, 1
Jordan, 1, 1
Jordan, 3, 1
Jordan, 1, 1
Jordan, 492, 1
Jordan, 1, 1
Jordan, 264, 1
Jordan, 30, 1
Jordan, 12, 1
Jordan, 1385, 1
Jordan, 156, 1
Jordan, 1, 1
Jordan, 186, 1
Jordan, 9, 1
Jordan, 1444, 1
Jordan, 702, 1
Jordan, 18, 1
Jordan, 1, 1
Jordan, 812, 1
Jordan, 22, 1
Jordan, 16, 1
Jordan, 107, 1
Jordan, 552, 1
Jordan, 123, 1
Jordan, 2, 1
Jordan, 297, 1
Jordan, 1, 1
Jordan, 107, 1
Jordan, 1, 1
Jordan, 33, 1
Jordan, 8, 1
Jordan, 14, 1
Jordan, 4760, 1
Jordan, 1617, 1
Jordan, 2, 1
Jordan, 1622, 1
Jordan, 254, 1
Jordan, 1, 1
Jordan, 845, 1
Jordan, 565, 1
Jordan, 22, 1
Jordan, 8, 1
Jordan, 1, 1
Jordan, 364, 1
Jordan, 29, 1
Jordan, 332, 1
Jordan, 3, 1
Jordan, 2, 1
Jordan, 2802, 1
Jordan, 1429, 1
Jordan, 96, 1
Jordan, 408, 1
Jordan, 86, 1
Jordan, 25, 1
Jordan, 3, 1
Jordan, 6, 1
Jordan, 1542, 1
Jordan, 71, 1
Jordan, 5, 1
Jordan, 3, 1
Jordan, 4, 1
Jordan, 170, 1
Jordan, 114, 1
Jordan, 1, 1
Jordan, 2, 1
Jordan, 1, 1
Jordan, 1, 1
Jordan, 7, 1
Jordan, 2, 1
Jordan, 3, 1
Jordan, 5, 1
Jordan, 1808, 1
Jordan, 4, 1
Jordan, 517, 1
Jordan, 10, 1
Jordan, 46, 1
Jordan, 2, 1
Jordan, 2408, 1
Jordan, 17, 1
Jordan, 526, 1
Jordan, 71, 1
Jordan, 16, 1
Jordan, 39, 1
Jordan, 3, 1
Jordan, 6, 1
Jordan, 3, 1
Jordan, 2, 1
Jordan, 8, 1
Jordan, 9, 1
Jordan, 228, 1
Jordan, 115, 1
Jordan, 109, 1
Jordan, 57, 1
Jordan, 13, 1
