brand, name, retail_price, total_sales, avg_sale_price
Adidas, adidas Human Race NMD Pharrell Pale Nude, 240, 1317, 381
Jordan, Jordan 1 Mid Pine Green, 110, 1444, 136
Nike, Air Max 270 Dusty Cactus, 150, 1489, 172
Nike, LeBron 15 Orange Box, 200, 753, 277
Jordan, Jordan 6 Retro Gatorade Like Mike White, 190, 1488, 150
Nike, Air VaporMax 97 Silver Bullet, 190, 1619, 196
Nike, Air VaporMax Plus Betrue (2018), 190, 689, 273
Adidas, adidas NMD Hu Pharrell Solar Pack Red, 250, 2832, 293
Jordan, Jordan 8 Retro Tinker Air Raid, 190, 1265, 164
Other, Converse One Star Ox Tyler the Creator Golf Le Fleur Light Blue Pink, 100, 527, 140
Nike, Air Max 97 Silver Black, 180, 522, 144
Jordan, Jordan 6 Retro Flight Nostalgia, 190, 780, 146
Nike, LeBron 16 I Promise, 185, 665, 211
Adidas, adidas NMD R1 Japan Triple Black, 180, 1482, 264
Adidas, adidas Ultra Boost 1.0 Multi-Color Toe White, 200, 1058, 140
Jordan, Jordan 1 Retro High Gatorade Orange Peel, 175, 1257, 109
Nike, Air Foamposite Pro Sequoia, 230, 972, 163
Adidas, adidas Ultra Boost 4.0 Cookies & Cream 2.0, 180, 757, 143
Adidas, adidas Ultra Boost 4.0 Cookies and Cream, 200, 3167, 232
Adidas, adidas Yeezy 500 Salt, 200, 11219, 268
Adidas, adidas Ultra Boost 3.0 Triple White, 180, 1043, 163
Adidas, adidas Ultra Boost 2.0 White Reflective, 200, 879, 166
Jordan, Jordan 11 Retro Platinum Tint, 220, 4716, 200
Adidas, adidas NMD Hu Pharrell Solar Pack Mother, 250, 3049, 251
Jordan, Jordan 1 Retro High Guava Ice, 160, 1016, 111
Jordan, Jordan 3 Retro Sport Blue, 170, 707, 205
Jordan, Jordan 1 Retro High Homage To Home Chicago (Numbered), 160, 1076, 764
Nike, Air Max 98 Tidal Wave, 160, 1163, 182
Jordan, Jordan 4 Retro Hot Punch (W), 190, 618, 170
Nike, Air VaporMax 97 Japan, 190, 1289, 177
Adidas, adidas Ultra Boost Clima Parley White Blue, 200, 767, 119
Adidas, adidas Pharrell NMD HU China Pack Passion (Red), 250, 686, 445
Nike, Air Force 270 Phantom, 160, 628, 200
Nike, Air Force 1 Low Swoosh Pack All-Star 2018 (Sail), 110, 990, 183
Jordan, Jordan 1 Retro High Shadow (2018), 160, 25973, 211
Nike, Air Max 97 Silver White, 180, 778, 138
Adidas, adidas Ultra Boost 4.0 Legend Ink, 180, 510, 141
Adidas, adidas NMD XR1 OG Black, 150, 1719, 151
Nike, Air Max 97 Pull Tab Obsidian White, 170, 740, 168
Nike, LeBron Icon John Elliott White, 250, 1321, 318
Adidas, adidas Yeezy Boost 350 V2 Black Red, 220, 2718, 808
Nike, Air Max 98 Gundam (2018), 160, 1565, 280
Jordan, Jordan 8 Retro OVO White, 225, 2161, 288
Jordan, Jordan 1 Retro Reverse Shattered Backboard, 160, 662, 477
Jordan, Jordan Legacy 312 Tech Challenge 2 Hot Lava, 160, 943, 169
Adidas, adidas Yeezy Boost 350 V2 Cream-Triple White, 220, 33059, 276
Jordan, Jordan 5 Retro Metallic White (2015), 190, 531, 188
Jordan, Jordan 11 Retro Space Jam 2016 (GS), 170, 657, 209
Jordan, Jordan 8 Retro OVO Black, 225, 2081, 275
Jordan, Jordan 11 Retro Low Georgetown, 170, 573, 229
