total_sales, brand
58, Nike
37, Nike
1, Nike
2, Nike
4, Nike
5, Nike
6, Nike
2, Nike
11, Nike
24, Nike
60, Nike
61, Nike
3, Nike
32, Nike
30, Nike
1, Nike
3, Nike
15, Nike
4, Nike
738, Nike
923, Nike
5, Nike
202, Nike
36, Nike
178, Nike
43, Nike
2, Nike
5, Nike
1, Nike
33, Nike
452, Nike
2, Nike
4, Nike
8, Nike
2, Nike
508, Nike
80, Nike
145, Nike
2, Nike
10, Nike
22, Nike
1, Nike
2, Nike
7, Nike
67, Nike
12, Nike
3, Nike
16, Nike
33, Nike
512, Nike
25, Nike
9, Nike
8, Nike
24, Nike
21, Nike
4, Nike
178, Nike
504, Nike
297, Nike
2, Nike
4, Nike
6, Nike
1, Nike
17, Nike
190, Nike
180, Nike
61, Nike
51, Nike
1, Nike
38, Nike
860, Nike
4, Nike
11, Nike
3, Nike
14, Nike
50, Nike
32, Nike
4, Nike
3, Nike
14, Nike
4, Nike
67, Nike
2, Nike
11, Nike
7, Nike
2, Nike
36, Nike
43, Nike
10, Nike
1, Nike
222, Nike
2, Nike
8, Nike
6, Nike
31, Nike
26, Nike
206, Nike
26, Nike
5, Nike
62, Nike
140, Nike
15, Nike
14, Nike
1, Nike
36, Nike
5, Nike
3, Nike
1, Nike
4, Nike
74, Nike
3, Nike
15, Nike
13, Nike
550, Nike
453, Nike
438, Nike
1046, Nike
45, Nike
17, Nike
7, Nike
136, Nike
228, Nike
129, Nike
3, Nike
1, Nike
5, Nike
1, Nike
8, Nike
57, Nike
18, Nike
6, Nike
88, Nike
1, Nike
1, Nike
5, Nike
1, Nike
2, Nike
12, Nike
4, Nike
1, Nike
6, Nike
1718, Nike
246, Nike
3, Nike
2, Nike
365, Nike
12, Nike
272, Nike
128, Nike
2, Nike
101, Nike
4, Nike
29, Nike
47, Nike
4, Nike
715, Nike
12, Nike
1, Nike
6, Nike
205, Nike
3, Nike
31, Nike
1, Nike
1, Nike
29, Nike
15, Nike
9, Nike
4, Nike
1, Nike
15, Nike
2, Nike
1, Nike
19, Nike
6, Nike
2, Nike
14, Nike
1, Nike
4, Nike
1522, Nike
1, Nike
48, Nike
101, Nike
12, Nike
20, Nike
21, Nike
1, Nike
192, Nike
1284, Nike
18, Nike
15, Nike
1, Nike
3, Nike
2, Nike
16, Nike
348, Nike
299, Nike
55, Nike
15, Nike
7, Nike
68, Nike
6, Nike
23, Nike
6, Nike
14, Nike
2, Nike
12, Nike
3, Nike
578, Nike
1, Nike
2, Nike
3, Nike
12, Nike
49, Nike
1, Nike
4, Nike
24, Nike
11, Nike
16, Nike
12, Nike
2, Nike
2, Nike
11, Nike
6, Nike
648, Nike
1, Nike
1, Nike
34, Nike
161, Nike
1, Nike
134, Nike
50, Nike
1027, Nike
71, Nike
590, Nike
64, Nike
1, Nike
13, Nike
11, Nike
7, Nike
43, Nike
8, Nike
10, Nike
8, Nike
1, Nike
73, Nike
6, Nike
210, Nike
20, Nike
12, Nike
6, Nike
64, Nike
50, Nike
1, Nike
21, Nike
12, Nike
13, Nike
1, Nike
10, Nike
1, Nike
1, Nike
23, Nike
52, Nike
3, Nike
11, Nike
37, Nike
141, Nike
2, Nike
43, Nike
19, Nike
29, Nike
35, Nike
84, Nike
16, Nike
2, Nike
68, Nike
22, Nike
2, Nike
3, Nike
2, Nike
1, Nike
52, Nike
11, Nike
1, Nike
854, Nike
3798, Nike
269, Nike
646, Nike
3947, Nike
285, Nike
719, Nike
3, Nike
2, Nike
9, Nike
7, Nike
4, Nike
1, Nike
9, Nike
8, Nike
1, Nike
984, Nike
1, Nike
5, Nike
7, Nike
8, Nike
54, Nike
18, Nike
48, Nike
1, Nike
33, Nike
30, Nike
189, Nike
931, Nike
223, Nike
2, Nike
4, Nike
9, Nike
5, Nike
1260, Nike
1, Nike
1, Nike
4, Nike
4, Nike
14, Nike
7, Nike
55, Nike
14, Nike
6, Nike
16, Nike
21, Nike
25, Nike
8, Nike
16, Nike
10, Nike
6, Nike
9, Nike
15, Nike
104, Nike
8, Nike
14, Nike
5, Nike
4, Nike
3621, Nike
819, Nike
990, Nike
1147, Nike
169, Nike
623, Nike
7, Nike
157, Nike
9, Nike
16, Nike
11, Nike
591, Nike
9607, Nike
2, Nike
1, Nike
2, Nike
44, Nike
25, Nike
22, Nike
5, Nike
2, Nike
1125, Nike
246, Nike
390, Nike
55, Nike
77, Nike
1345, Nike
200, Nike
4, Nike
46, Nike
1, Nike
16, Nike
9, Nike
4, Nike
40, Nike
43, Nike
2, Nike
4, Nike
4, Nike
424, Nike
73, Nike
1, Nike
