brand, total_sales, avg_sale_price
Nike, 58, 1492
Nike, 37, 139
Nike, 1, 230
Nike, 2, 339
Nike, 4, 121
Nike, 5, 118
Nike, 6, 132
Nike, 2, 83
Nike, 11, 156
Nike, 24, 200
Nike, 60, 200
Nike, 61, 266
Nike, 3, 146
Nike, 32, 149
Nike, 30, 122
Nike, 1, 165
Nike, 3, 107
Nike, 15, 153
Nike, 4, 165
Nike, 738, 94
Nike, 923, 104
Nike, 5, 156
Nike, 202, 84
Nike, 36, 105
Nike, 178, 115
Nike, 43, 72
Nike, 2, 78
Nike, 5, 105
Nike, 1, 170
Nike, 33, 214
Nike, 452, 150
Nike, 2, 85
Nike, 4, 74
Nike, 8, 84
Nike, 2, 140
Nike, 508, 126
Nike, 80, 106
Nike, 145, 107
Nike, 2, 163
Nike, 10, 99
Nike, 22, 102
Nike, 1, 350
Nike, 2, 513
Nike, 7, 594
Nike, 67, 88
Nike, 12, 90
Nike, 3, 85
Nike, 16, 91
Nike, 33, 86
Nike, 512, 178
Nike, 25, 298
Nike, 9, 194
Nike, 8, 170
Nike, 24, 90
Nike, 21, 103
Nike, 4, 203
Nike, 178, 188
Nike, 504, 245
Nike, 297, 223
Nike, 2, 90
Nike, 4, 111
Nike, 6, 115
Nike, 1, 125
Nike, 17, 113
Nike, 190, 204
Nike, 180, 158
Nike, 61, 209
Nike, 51, 239
Nike, 1, 120
Nike, 38, 127
Nike, 860, 144
Nike, 4, 106
Nike, 11, 111
Nike, 3, 667
Nike, 14, 751
Nike, 50, 837
Nike, 32, 752
Nike, 4, 85
Nike, 3, 332
Nike, 14, 325
Nike, 4, 372
Nike, 67, 74
Nike, 2, 110
Nike, 11, 170
Nike, 7, 133
Nike, 2, 70
Nike, 36, 127
Nike, 43, 108
Nike, 10, 144
Nike, 1, 95
Nike, 222, 83
Nike, 2, 65
Nike, 8, 270
Nike, 6, 286
Nike, 31, 126
Nike, 26, 130
Nike, 206, 162
Nike, 26, 92
Nike, 5, 130
Nike, 62, 125
Nike, 140, 187
Nike, 15, 126
Nike, 14, 76
Nike, 1, 25
Nike, 36, 92
Nike, 5, 140
Nike, 3, 98
Nike, 1, 120
Nike, 4, 115
Nike, 74, 153
Nike, 3, 342
Nike, 15, 80
Nike, 13, 102
Nike, 550, 112
Nike, 453, 161
Nike, 438, 217
Nike, 1046, 246
Nike, 45, 67
Nike, 17, 79
Nike, 7, 139
Nike, 136, 107
Nike, 228, 113
Nike, 129, 110
Nike, 3, 135
Nike, 1, 125
Nike, 5, 95
Nike, 1, 50
Nike, 8, 169
Nike, 57, 131
Nike, 18, 91
Nike, 6, 81
Nike, 88, 112
Nike, 1, 100
Nike, 1, 120
Nike, 5, 109
Nike, 1, 120
Nike, 2, 83
Nike, 12, 94
Nike, 4, 144
Nike, 1, 173
Nike, 6, 235
