type, total_sales
NMD, 1317
4, 2
Asics, 78
Lebron, 1
Packs, 1
SB, 2
Basketball, 337
KD, 116
Converse, 40
1, 1444
Other, 5
Lebron, 70
11, 26
New Balance, 13
Basketball, 46
Air Max, 10
New Balance, 13
Air Max, 1489
Other, 8
SB, 1
Air Max, 153
Other, 1
Air Force, 5
SB, 9
Basketball, 3
Lebron, 753
Air Max, 72
Lebron, 34
Other, 2
Other, 8
Foamposite, 22
Reebok, 6
Air Force, 108
1, 22
Li-Ning, 2
Other, 151
Lebron, 31
New Balance, 2
Air Force, 14
1, 2
Ultraboost, 175
Basketball, 3
NMD, 3
13, 264
SB, 10
Lebron, 1
Air Max, 57
Kobe, 41
6, 1488
SB, 4
Basketball, 18
SB, 24
Other, 18
Reebok, 11
Diadora, 2
Converse, 33
Kobe, 3
Other, 3
Kobe, 19
Air Max, 4
NMD, 3
New Balance, 7
Converse, 17
Foamposite, 181
Air Max, 1
Air Max, 271
Ultraboost, 28
Converse, 1
SB, 11
Other, 205
Other, 2
Other, 30
Vans, 24
1, 3
New Balance, 1
Vans, 4
Kobe, 81
Other, 49
Other, 14
Basketball, 53
New Balance, 37
Air Max, 1
Asics, 9
Air Force, 1
Air Max, 3
Ultraboost, 3
1, 358
Basketball, 3
Under Armour, 3
Vans, 73
Kobe, 2
Vans, 1
Basketball, 31
NMD, 57
Other, 57
NMD, 5
Lebron, 21
10, 1
Air Force, 1
Converse, 129
Basketball, 8
Vans, 249
Lebron, 29
Other, 1
Vans, 117
1, 222
11, 217
SB, 3
Basketball, 8
Ultraboost, 1
Basketball, 65
Basketball, 31
NMD, 251
Kobe, 131
Kobe, 35
New Balance, 3
Diadora, 1
1, 23
New Balance, 4
Air Max, 22
Kobe, 7
SB, 129
5, 6
16-33, 14
Foamposite, 5
Air Max, 1619
SB, 10
Other, 18
Other, 43
Air Force, 56
Other, 9
KD, 20
Air Force, 4
1, 191
1, 20
Basketball, 1
SB, 7
1, 11
Lebron, 5
Air Max, 689
NMD, 2832
Air Max, 77
Iniki, 138
Lebron, 4
6, 41
Basketball, 2
Air Max, 4
KD, 6
Basketball, 17
Basketball, 10
1, 21
Lebron, 3
Foamposite, 3
SB, 18
SB, 5
SB, 1
Puma, 1
Puma, 2
8, 1265
1, 25
Saucony, 3
Air Max, 369
6, 6
Air Max, 320
Other, 9
Other, 96
KD, 28
Other, 307
Asics, 54
Ultraboost, 61
Air Max, 42
Other, 2
Other, 5
Other, 8
Kobe, 15
13, 159
Air Max, 242
Air Max, 50
Lebron, 6
Reebok, 2
10, 103
Air Force, 43
Puma, 33
Air Max, 2
Other, 4
1, 3
Reebok, 15
KD, 28
Other, 2
1, 20
Basketball, 9
Air Max, 18
Kobe, 37
Basketball, 337
13, 1
8, 7
Air Max, 43
Puma, 61
Other, 14
Other, 210
5, 6
NMD, 27
Reebok, 1
Other, 94
1, 16
Air Max, 14
Converse, 68
NMD, 6
New Balance, 1
New Balance, 44
5, 10
Basketball, 45
Vans, 4
Converse, 527
SB, 29
Kobe, 6
NMD, 23
16-33, 7
2, 19
Vans, 3
Other, 1
12, 26
Kobe, 3
15, 1
Asics, 5
Other, 2
Air Max, 522
Basketball, 9
Ultraboost, 96
Lebron, 12
Reebok, 1
Air Force, 3
SB, 1
Other, 3
Kobe, 96
Kobe, 36
3, 1
Air Max, 29
Saucony, 26
Air Force, 1
6, 1
Other, 19
6, 780
SB, 20
NMD, 3
Kobe, 286
Air Force, 1
6, 115
Ultraboost, 4
Other, 9
Other, 29
Vans, 1
Kobe, 13
Air Force, 374
Converse, 149
Air Force, 14
Lebron, 391
1, 13
SB, 25
Lebron, 665
Vans, 12
Basketball, 2
13, 324
NMD, 26
Air Force, 297
Air Max, 1
NMD, 26
Vans, 57
Basketball, 1
Air Force, 13
SB, 71
Basketball, 49
Puma, 1
Lebron, 45
6, 15
SB, 16
Air Force, 52
Vans, 1
Reebok, 4
Basketball, 9
Reebok, 5
1, 3
1, 225
Lebron, 1
1, 5
Puma, 1
Kobe, 33
Air Force, 13
New Balance, 1
Air Force, 16
Asics, 36
1, 144
Reebok, 6
NMD, 1482
1, 1
Converse, 1
Air Force, 1
KD, 4
NMD, 38
Ultraboost, 1058
Saucony, 19
Air Force, 1
SB, 1
Kobe, 18
Other, 4
Diadora, 1
Air Force, 32
Kobe, 34
Air Force, 176
1, 1257
NMD, 79
KD, 73
1, 1307
Other, 277
Foamposite, 972
16-33, 1
Basketball, 3
Other, 6
16-33, 14
Air Max, 2
Ultraboost, 1
Asics, 3
Reebok, 5
10, 21
Reebok, 2
Ultraboost, 757
Air Force, 40
KD, 14
Asics, 8
Basketball, 197
Basketball, 517
Asics, 2
16-33, 2
11, 60
Air Max, 31
Kobe, 5
Puma, 3
Other, 9
Other, 1
Vans, 2
Other, 18
Lebron, 307
7, 56
Other, 13
Lebron, 4
1, 161
Ultraboost, 3167
Other, 2
SB, 7
Air Max, 74
Other, 5
Basketball, 173
Reebok, 6
Diadora, 3
Yeezy, 11219
Other, 32
NMD, 16
KD, 8
Air Max, 69
Air Force, 1
Puma, 1
Ultraboost, 367
Air Max, 219
Air Max, 87
Air Max, 49
SB, 6
NMD, 787
1, 16
Other, 6
SB, 44
Vans, 1
Other, 2
Saucony, 1
Ultraboost, 1043
Vans, 2
Iniki, 69
Air Max, 60
Puma, 10
Lebron, 50
Other, 2
Air Force, 36
Lebron, 13
4, 27
Saucony, 10
6, 7
Asics, 2
11, 71
Kobe, 5
SB, 8
Puma, 1
Under Armour, 3
Lebron, 9
Air Max, 1
New Balance, 1
SB, 29
8, 8
Other, 4
Other, 126
Balenciaga, 71
16-33, 30
Saucony, 1
Vans, 87
Other, 2
Other, 16
Reebok, 44
Under Armour, 24
Ultraboost, 158
1, 30
4, 29
Saucony, 11
1, 76
Lebron, 10
Lebron, 24
Vans, 4
Other, 8
Other, 2
Basketball, 101
Asics, 46
Saucony, 27
Air Force, 8
Other, 435
Ultraboost, 108
SB, 9
Foamposite, 1
16-33, 24
Kobe, 7
NMD, 75
Ultraboost, 26
Other, 6
Basketball, 1
SB, 6
1, 6
Air Max, 190
Air Force, 510
Air Force, 1
Other, 1
Reebok, 15
SB, 4
Iniki, 4
Basketball, 19
Under Armour, 29
7, 160
SB, 119
Basketball, 23
Kobe, 57
Ultraboost, 879
Converse, 12
16-33, 33
Reebok, 1
SB, 22
Diadora, 22
Ultraboost, 109
Vans, 25
Air Max, 49
Kobe, 4
Lebron, 2
Spizike, 29
Other, 21
Vans, 127
Lebron, 34
Air Max, 2
Basketball, 16
Air Force, 4
Kobe, 96
Diadora, 62
New Balance, 8
Basketball, 93
Lebron, 1
Air Force, 25
SB, 21
Under Armour, 4
Ultraboost, 30
5, 246
Other, 11
Air Max, 143
Other, 2
Other, 13
11, 4716
Air Max, 37
Other, 7
Air Max, 168
Other, 1
3, 3
Ultraboost, 168
Converse, 10
Converse, 1
SB, 8
Reebok, 11
Lebron, 4
11, 61
Lebron, 12
Air Max, 97
Air Max, 82
NMD, 133
Other, 6
Other, 2
Under Armour, 1
NMD, 18
Basketball, 79
13, 87
Air Force, 64
Lebron, 1
Other, 2
3, 10
Air Max, 353
Lebron, 13
4, 439
Reebok, 2
Asics, 1
Air Force, 66
Under Armour, 11
Under Armour, 140
Puma, 1
SB, 6
SB, 65
1, 227
Basketball, 33
Air Force, 200
Other, 1
10, 59
Saucony, 2
Air Max, 92
Air Max, 117
Ultraboost, 12
Basketball, 11
Basketball, 2
16-33, 41
Diadora, 20
Vans, 5
Lebron, 3
Ultraboost, 2
Basketball, 16
Converse, 138
Vans, 4
Asics, 1
KD, 199
NMD, 90
Other, 27
Other, 10
16-33, 215
Foamposite, 22
Air Max, 60
Basketball, 3
Air Max, 45
16-33, 3
11, 167
Ultraboost, 7
NMD, 3049
Air Force, 57
Other, 8
1, 1016
Kobe, 15
KD, 27
Air Force, 1
Air Force, 3
NMD, 75
KD, 29
5, 154
Vans, 46
Lebron, 3
Reebok, 4
Other, 53
Basketball, 1
1, 13
Basketball, 12
Diadora, 133
Basketball, 2
1, 129
Other, 69
Foamposite, 7
Air Force, 31
Other, 16
Lebron, 8
NMD, 58
Lebron, 1
Air Force, 1
SB, 3
Foamposite, 209
Air Max, 6
Other, 2
Air Max, 90
Vans, 3
Reebok, 19
1, 1
Other, 1
Vans, 3
Lebron, 1
Air Force, 4
Asics, 3
Other, 2
Vans, 650
Other, 8
SB, 1
Reebok, 5
Other, 5
KD, 14
Basketball, 6
Air Force, 14
Vans, 135
Other, 12
Air Force, 16
Reebok, 1
New Balance, 6
Other, 57
Vans, 2
Other, 11
SB, 6
Air Max, 314
7, 39
Air Force, 6
Air Max, 6
Air Force, 3
Asics, 5
Air Max, 24
KD, 83
SB, 267
New Balance, 2
Basketball, 123
Asics, 2
Vans, 54
Diadora, 2
Reebok, 64
Kobe, 33
10, 16
Basketball, 463
Asics, 1
Air Max, 20
Lebron, 5
1, 3
1, 27
SB, 4
SB, 4
3, 707
Kobe, 90
Ultraboost, 310
Other, 15
Lebron, 33
6, 6
New Balance, 1
Under Armour, 2
1, 1076
Basketball, 16
12, 316
2, 18
Other, 9
Other, 3
Saucony, 1
SB, 1
16-33, 2
Air Max, 1
Air Force, 4
Converse, 1
Air Max, 1163
Kobe, 51
Other, 13
SB, 175
Foamposite, 208
Other, 13
Kobe, 160
Asics, 59
15, 2
Balenciaga, 2
Other, 177
Under Armour, 4
Lebron, 15
SB, 216
Lebron, 10
4, 618
Air Max, 21
Asics, 12
Kobe, 131
Asics, 23
Lebron, 2
9, 64
SB, 2
Air Force, 189
Vans, 11
Lebron, 21
Other, 15
Basketball, 59
Air Max, 1289
Reebok, 34
SB, 105
Vans, 3
Diadora, 20
Asics, 5
Other, 1
Asics, 1
Other, 154
Vans, 4
KD, 7
8, 236
Lebron, 45
12, 111
SB, 45
Puma, 3
Other, 97
Basketball, 11
Air Max, 394
Ultraboost, 10
Other, 3
SB, 1
Air Force, 15
Basketball, 17
NMD, 1
Foamposite, 215
1, 17
Asics, 59
Reebok, 1
2, 4
Ultraboost, 767
Puma, 2
Other, 745
14, 11
NMD, 34
Other, 2
SB, 21
Air Max, 40
Other, 1
11, 1
Other, 1
Air Max, 38
Lebron, 9
NMD, 686
Air Force, 628
Lebron, 18
Basketball, 1
Air Force, 990
Air Force, 2
Other, 5
Lebron, 24
Reebok, 5
Basketball, 1
1, 158
Other, 8
Other, 13
Reebok, 4
Kobe, 8
SB, 4
Kobe, 30
1, 25973
1, 7
Reebok, 11
SB, 16
Air Max, 237
Air Force, 1
Lebron, 17
Kobe, 54
Air Max, 778
Ultraboost, 401
KD, 1
Kobe, 169
Other, 5
KD, 51
Basketball, 14
12, 119
1, 2
KD, 1
Air Force, 1
Asics, 1
Basketball, 42
Air Max, 7
Ultraboost, 510
Air Max, 87
Air Force, 443
Air Force, 1
14, 98
Other, 27
7, 16
Asics, 1
Other, 2
Air Force, 2
Air Max, 10
Basketball, 3
Air Max, 75
Basketball, 7
NMD, 1719
16-33, 10
Other, 16
Air Max, 740
SB, 1
Yeezy, 12
Air Force, 8
Air Force, 5
Air Force, 6
Vans, 321
SB, 5
Air Force, 4
Lebron, 1321
Air Max, 34
Basketball, 153
Puma, 1
Asics, 2
Asics, 1
SB, 10
Vans, 10
Saucony, 1
NMD, 2
Iniki, 2
1, 151
1, 4
1, 9
SB, 3
Kobe, 35
Saucony, 12
Ultraboost, 53
SB, 43
Vans, 153
NMD, 58
Basketball, 8
Other, 5
Yeezy, 2718
NMD, 71
Air Max, 73
Basketball, 11
Air Max, 1565
Other, 1
Air Max, 5
Kobe, 142
Kobe, 1
Converse, 59
6, 44
Lebron, 14
